,Lex,Example,ConstrPattern,arg_num
37,арестовать," Стали арестовывать всех подозрительных лиц, независимо от возраста и пола",Snom V Sacc,2
38,арестовывать,Полиция арестовала группу профсоюзных активистов ,Snom V Sacc,2
39,арестовывать, Преступника арестовали на борту самолета,Snom V Sacc,2
40,арестовывать, Нарушитель был арестован при попытке перейти границу,Snom V Sacc,2
41,арестовывать," Стали арестовывать всех подозрительных лиц, независимо от возраста и пола",Snom V Sacc,2
42,предотвратить,Ои смог бы еще предотвратить катастрофу,Snom V Sacc,2
43,предотвратить, Мы должны предотвратить войну,Snom V Sacc,2
44,предотвратить, Милиция предотвращает преступления,Snom V Sacc,2
45,предотвращать,Ои смог бы еще предотвратить катастрофу,Snom V Sacc,2
46,предотвращать, Мы должны предотвратить войну,Snom V Sacc,2
47,предотвращать, Милиция предотвращает преступления,Snom V Sacc,2
48,отразить,Искусство отражает жизнь,Snom V Sacc,2
49,отразить, Эта книга отражает эволюцию взглядов художника на события революции 1905 года,Snom V Sacc,2
50,отражать,Искусство отражает жизнь,Snom V Sacc,2
51,отражать, Эта книга отражает эволюцию взглядов художника на события революции 1905 года,Snom V Sacc,2
52,явиться,Тот случай явился мне добрым знаком,Snom V Sdat Sins,3
53,продемонстрировать,Я хочу его всем продемонстрировать,Snom V Sacc {Sdat / перед + Sins},3
54,задать,Виктор не решается задать прямой вопрос: Ты агент?,Snom V вопрос CL,3
55,задавать,Виктор не решается задать прямой вопрос: Ты агент?,Snom V вопрос CL,3
56,вопрос,Виктор не решается задать прямой вопрос: Ты агент?,Snom V вопрос CL,3
57,найтись,Место  всем нашлось,Snom V {Sdat / для + Sgen},2
58,найтись," Нашлась ему работа, не беспокойтесь",Snom V {Sdat / для + Sgen},2
59,найтись, Дело для вас нашлось,Snom V {Sdat / для + Sgen},2
60,находиться,Место  всем нашлось,Snom V {Sdat / для + Sgen},2
61,находиться," Нашлась ему работа, не беспокойтесь",Snom V {Sdat / для + Sgen},2
62,находиться, Дело для вас нашлось,Snom V {Sdat / для + Sgen},2
63,победить,Искренность Ивана победила всех недоброжелателей,Snom V Sacc,2
64,побеждать,Искренность Ивана победила всех недоброжелателей,Snom V Sacc,2
65,описать,Он мастерски описал свой родной город ,Snom V Sacc,2
66,описать, Журналист описывает события последних дней ,Snom V Sacc,2
67,описать, Географ описал только открытый остров,Snom V Sacc,2
68,описать, Ученые описали флору и фауну этого края,Snom V Sacc,2
69,описать, Диалектологи описали говор деревни Деу-лино,Snom V Sacc,2
70,описывать,Он мастерски описал свой родной город ,Snom V Sacc,2
71,описывать, Журналист описывает события последних дней ,Snom V Sacc,2
72,описывать, Географ описал только открытый остров,Snom V Sacc,2
73,описывать, Ученые описали флору и фауну этого края,Snom V Sacc,2
74,описывать, Диалектологи описали говор деревни Деу-лино,Snom V Sacc,2
75,предать,Предать гласности экономические проблемы,Snom V Sacc {гласности / огласке / публике},3
76,предавать,Предать гласности экономические проблемы,Snom V Sacc {гласности / огласке / публике},3
77,гласность,Предать гласности экономические проблемы,Snom V Sacc {гласности / огласке / публике},3
78,огласка,Предать гласности экономические проблемы,Snom V Sacc {гласности / огласке / публике},3
79,публика,Предать гласности экономические проблемы,Snom V Sacc {гласности / огласке / публике},3
80,срубить,Мужики рубили лес топорами,Snom V Sacc Sins,3
81,спешить,Спешу поделиться с тобой приятной новостью,Snom V Vinf,2
82,поспешить,Спешу поделиться с тобой приятной новостью,Snom V Vinf,2
83,завернуть,"Заверните, пожалуйста, книги",Snom V Sacc,2
84,заворачивать,"Заверните, пожалуйста, книги",Snom V Sacc,2
85,приветствовать,Мы приветствовали дорогих гостей ,Snom V Sacc,2
86,прийтись,Вашим спутникам придется здесь ночевать,Sdat Vimpers Vinf,2
87,приходиться,Вашим спутникам придется здесь ночевать,Sdat Vimpers Vinf,2
88,поглядеть,"Погляди на улицу, видишь, сколько народу? Везде, куда ни глянешь, стоят нетронутые леса",Snom V {ADV / PRкуда + Sx},2
89,поглядеть," «А не поглядеть ли под кровать, — подумал я, — может, коробка там?» Иван рассеянно глядел в сад ",Snom V {ADV / PRкуда + Sx},2
90,поглядеть, Девушка долго глядела вслед всаднику ,Snom V {ADV / PRкуда + Sx},2
91,поглядеть, Почему ты не глядишь мне в глаза?,Snom V {ADV / PRкуда + Sx},2
92,учить,Он учил брата играть в шахматы ,Snom V Sacc Vinf,3
93,учить, Дрессировщик выучил пса обходить зрителей с шапкой в зубах,Snom V Sacc Vinf,3
94,выучить,Он учил брата играть в шахматы ,Snom V Sacc Vinf,3
95,выучить, Дрессировщик выучил пса обходить зрителей с шапкой в зубах,Snom V Sacc Vinf,3
96,повесить,Демонстранты вешают (себе) на грудь и на спину плакаты,Snom V Sacc {ADV / PRкуда + Sx},3
97,повесить, Дети уже начали вешать на елку игрушки ,Snom V Sacc {ADV / PRкуда + Sx},3
98,повесить," Пальто повесь на вешалку, а пиджак — в шкаф",Snom V Sacc {ADV / PRкуда + Sx},3
99,повесить," Сюда, пожалуйста, ничего не вешай",Snom V Sacc {ADV / PRкуда + Sx},3
100,во + весь + дух,Она пустилась во весь дух по опасной дороге,Snom V во + весь + дух,5
101,поблагодарить,"Она звала ее к себе, бабушка благодарила, но приезжать отказывалась",Snom V,1
102,включить,Директор включил еще одного сотрудника в состав бригады ,Snom V Sacc в + Sacc,3
103,включить, Я прошу включить этот вопрос  в повестку дня,Snom V Sacc в + Sacc,3
104,включить, Необходимо включить в доклад ,Snom V Sacc в + Sacc,3
105,включить, Он предложил включить в договор  пункт о научном сотрудничестве,Snom V Sacc в + Sacc,3
106,включать,Директор включил еще одного сотрудника в состав бригады ,Snom V Sacc в + Sacc,3
107,включать, Я прошу включить этот вопрос  в повестку дня,Snom V Sacc в + Sacc,3
108,включать, Необходимо включить в доклад ,Snom V Sacc в + Sacc,3
109,включать, Он предложил включить в договор  пункт о научном сотрудничестве,Snom V Sacc в + Sacc,3
110,отложить,Кадровые рокировки надолго (минимум на месяц) отложили решение важных проболем,Snom V Sacc ADV / на + Sacc,5
111,злиться,Что ты злишься? Зря вы злитесь,Snom V,1
112,постыдиться,Калека стыдился выходить на улицу,Snom V Vinf,2
113,вдохновлять,Любовь вдохновила его на подвиг,Snom V Sacc на + Sacc,3
114,интересовать,Что вас интересует? Его ничего не интересует,Snom V Sacc,2
115,интересовать, Моего сына интересует техника ,Snom V Sacc,2
116,претендовать,Никто теперь не претендует понимать Пушкина,Snom V Vinf,2
117,ударять,За всю свою долгую жизнь дрессировщика Дуров ни разу не ударил никого из своих подопечных,Snom V Sacc,2
118,ударять, Извозчик ударил лошадь,Snom V Sacc,2
119,испугать,"Ты меня не пугай, я не из пугливых! Нехорошо пугать детей",Snom V Sacc,2
120,изучить,В поисках мин саперы придирчиво изучали каждую щель ,Snom V Sacc,2
121,изучить," Хозяин долго изучал девушку  и, казалось, остался доволен",Snom V Sacc,2
122,изучать,В поисках мин саперы придирчиво изучали каждую щель ,Snom V Sacc,2
123,изучать," Хозяин долго изучал девушку  и, казалось, остался доволен",Snom V Sacc,2
124,прервать,-- Дмитрий Александрович! -- опять прервала она собеседника,Snom V Sacc «CL»,3
125,выразить,"Если выразить план завода в цифрах, получится внушительная картина",Snom V Sacc {Sins / в + Sloc},3
126,выразить, Питательность продуктов обычно выражают в калориях,Snom V Sacc {Sins / в + Sloc},3
127,выразить," В ряде случаев объем  произведенной продукции удобнее выражать в центнерах, чем в тоннах",Snom V Sacc {Sins / в + Sloc},3
128,выразить, План завода можно выразить тремя главными цифрами,Snom V Sacc {Sins / в + Sloc},3
129,выражать,"Если выразить план завода в цифрах, получится внушительная картина",Snom V Sacc {Sins / в + Sloc},3
130,выражать, Питательность продуктов обычно выражают в калориях,Snom V Sacc {Sins / в + Sloc},3
131,выражать," В ряде случаев объем  произведенной продукции удобнее выражать в центнерах, чем в тоннах",Snom V Sacc {Sins / в + Sloc},3
132,выражать, План завода можно выразить тремя главными цифрами,Snom V Sacc {Sins / в + Sloc},3
133,обработать,Клерк обрабатывает данные,Snom V Sacc,2
134,обрабатывать,Клерк обрабатывает данные,Snom V Sacc,2
135,произносить,Студент правильно  произносит русские слова,Snom V Sacc ADV,3
136,произносить, Незнакомец вслух произнес мою фамилию,Snom V Sacc ADV,3
137,планировать,Я планировала закончить работу (к концу года),Snom V Vinf,2
138,планировать, Он планирует построить дом,Snom V Vinf,2
139,запланировать,Я планировала закончить работу (к концу года),Snom V Vinf,2
140,запланировать, Он планирует построить дом,Snom V Vinf,2
141,стыдиться,Он никогда не стыдился нашей любви,Snom V Sgen,2
142,стыдиться, Этот человек стыдится своей неграмотной матери,Snom V Sgen,2
143,постыдиться,Он никогда не стыдился нашей любви,Snom V Sgen,2
144,постыдиться, Этот человек стыдится своей неграмотной матери,Snom V Sgen,2
145,застать,"Пошли, не рассчитали, темнота застала",Snom V,1
146,заставать,"Пошли, не рассчитали, темнота застала",Snom V,1
147,соврать,Он бессовестно  врал,Snom V,1
148,соврать," Этот человек врет, не верьте ему",Snom V,1
149,выписать,Новобрачным выписали свидетельство на желтом бланке,Snom V Sacc Sdat {в + Sloc / на + Sloc},4
150,выписывать,Новобрачным выписали свидетельство на желтом бланке,Snom V Sacc Sdat {в + Sloc / на + Sloc},4
151,отказаться,Экспериментатор отказался от попытки вывести засухоустойчивый сорт,Snom V от + Sgen,2
152,отказаться, Итальянский ученый отказался от дальнейших опытов с человеческими зародышами,Snom V от + Sgen,2
153,отказываться,Экспериментатор отказался от попытки вывести засухоустойчивый сорт,Snom V от + Sgen,2
154,отказываться, Итальянский ученый отказался от дальнейших опытов с человеческими зародышами,Snom V от + Sgen,2
155,морщиться,Он досадливо поморщился,Snom V,1
156,поморщиться,Он досадливо поморщился,Snom V,1
157,собираться,Люди собрались на митинг,Snom V на + Sacc,2
158,собираться, Участники международных соревнований собрались на инструктаж,Snom V на + Sacc,2
159,принимать,Красавица приняла изъявления любви холодно,Snom V Sacc {ADV / PR + Sx},3
160,принимать, Он принял мой отъезд ,Snom V Sacc {ADV / PR + Sx},3
161,изображать,"Автор хотел изобразить разочарованного человека, но в действительности изобразил циника",Snom V Sacc,2
162,изобразить,"Автор хотел изобразить разочарованного человека, но в действительности изобразил циника",Snom V Sacc,2
163,получиться,Не получилось,Vimpers,0
164,получаться,Не получилось,Vimpers,0
165,вырабатывать,Организм вырабатывает вещество,Snom V Sacc,2
166,вырабатывать, Печень вырабатывает ферменты,Snom V Sacc,2
167,добывать,Бригада добыла тысячу тонн угля  сверх плана,Snom V Sacc,2
168,обеспечивать,Эти меры обеспечивают подъем экономики ,Snom V Sacc,2
169,обеспечивать, Обдуманное планирование и предусмотрительная подготовка обеспечили успех строительства,Snom V Sacc,2
170,вспыхнуть,Отец легко вспыхивал,Snom V,1
171,вспыхивать,Отец легко вспыхивал,Snom V,1
172,приступить,Мы приступили к делу,Snom V к + Sdat,2
173,приступить, Ребята приступают к занятиям,Snom V к + Sdat,2
174,приступить, Следователь приступил к допросу задержанного,Snom V к + Sdat,2
175,приступить, Новый начальник приступает к исполнению своих обязанностей первого февраля,Snom V к + Sdat,2
176,информировать,Директор коротко информировал коллектив института о случившемся ,Snom V Sacc о + Sloc,3
177,проинформировать,Директор коротко информировал коллектив института о случившемся ,Snom V Sacc о + Sloc,3
178,вмешаться,Федор вмешался в спор ,Snom V в + Sacc,2
179,вмешаться, Ей случалось вмешиваться в разговоры старших,Snom V в + Sacc,2
180,вмешаться, Зачем ты вмешиваешься в мою личную жизнь ?,Snom V в + Sacc,2
181,вмешиваться,Федор вмешался в спор ,Snom V в + Sacc,2
182,вмешиваться, Ей случалось вмешиваться в разговоры старших,Snom V в + Sacc,2
183,вмешиваться, Зачем ты вмешиваешься в мою личную жизнь ?,Snom V в + Sacc,2
184,звучать,Это звучит прекрасно ,Snom V ADV,2
185,звучать," То, что вы говорите, звучит вполне убедительно",Snom V ADV,2
186,звучать, Его оправдания прозвучали неискренне,Snom V ADV,2
187,прозвучать,Это звучит прекрасно ,Snom V ADV,2
188,прозвучать," То, что вы говорите, звучит вполне убедительно",Snom V ADV,2
189,прозвучать, Его оправдания прозвучали неискренне,Snom V ADV,2
190,дружить,Каждый бывалый моряк дружит с ромом,Snom V с + Sins,2
191,ударять,Дождь ударил в окно,Snom V в + Sacc,2
192,отложить,"Лимон нарежьте дольками, четыре из них отложите для украшения",Snom V Sacc для + Sgen,3
193,откладывать,"Лимон нарежьте дольками, четыре из них отложите для украшения",Snom V Sacc для + Sgen,3
194,обеспечивать,Молодежи нужно обеспечить возможность учиться ,Snom V Sacc Sdat,3
195,дразнить,Серёжа всё время дразнил и смеялся,Snom V,1
196,схватиться,Японцы схватились врукопашную с артиллеристами,Snom V с + Sins,2
197,разрешить,Разрешите присесть ?,Snom V Vinf,2
198,разрешать,Разрешите присесть ?,Snom V Vinf,2
199,вспыхнуть,В нем вспыхнула радость,Snom V в + Sloc,2
200,вспыхнуть, Во мне с новой силой вспыхивает надежда,Snom V в + Sloc,2
201,вспыхнуть, В душе  вновь вспыхнула надежда,Snom V в + Sloc,2
202,вспыхнуть, Милые с детства картины вспыхивают в его воображении,Snom V в + Sloc,2
203,вспыхивать,В нем вспыхнула радость,Snom V в + Sloc,2
204,вспыхивать, Во мне с новой силой вспыхивает надежда,Snom V в + Sloc,2
205,вспыхивать, В душе  вновь вспыхнула надежда,Snom V в + Sloc,2
206,вспыхивать, Милые с детства картины вспыхивают в его воображении,Snom V в + Sloc,2
207,вспыхнуть,Бумага  сразу вспыхнула,Snom V,1
208,вспыхивать,Бумага  сразу вспыхнула,Snom V,1
209,избрать,"Я буду держать жену в темнице до тех пор, пока мой гнев не изберет ей достойное наказание",Snom V Sacc Sdat,3
210,учить,Неужели я должен учить вас деликатности ?,Snom V Sacc Sdat,3
211,научить,Неужели я должен учить вас деликатности ?,Snom V Sacc Sdat,3
212,выделиться,Среди  многих дел выделилось два основных,Snom V {из + Sgen / среди + Sgen},2
213,выделяться,Среди  многих дел выделилось два основных,Snom V {из + Sgen / среди + Sgen},2
214,обеспечивать,Ваших родителей мы обеспечим,Snom V Sacc,2
215,обеспечивать, Семьи погибших будут обеспечены,Snom V Sacc,2
216,определять,Его определили к генералу,Snom V Sacc к + Sdat,3
217,поклоны,Полагалось бить ему поклоны,Snom V поклоны Sdat,3
218,определять,Сотрудники автоинспекции определяют скорость автомобилей специальными приборами,Snom V {Sacc / что + CL / Rel + CL / CL} {Sins / при + помощи + Sgen / с + помощью + Sgen},3
219,определять," С помощью компаса руководитель группы определил, что мы отклонились от нужного направления ",Snom V {Sacc / что + CL / Rel + CL / CL} {Sins / при + помощи + Sgen / с + помощью + Sgen},3
220,определять," При помощи этих приборов космонавт может определить, нужно ли  включать тормозную установку",Snom V {Sacc / что + CL / Rel + CL / CL} {Sins / при + помощи + Sgen / с + помощью + Sgen},3
221,определять," Я и невооруженным глазом могу определить, что скорость завышена",Snom V {Sacc / что + CL / Rel + CL / CL} {Sins / при + помощи + Sgen / с + помощью + Sgen},3
222,определять, Голуби и кошки инстинктом определяют дорогу к дому,Snom V {Sacc / что + CL / Rel + CL / CL} {Sins / при + помощи + Sgen / с + помощью + Sgen},3
223,завернуть,Он завернул ему руку за спину,Snom V Sacc {ADV / PRкуда + Sx},3
224,заворачивать,Он завернул ему руку за спину,Snom V Sacc {ADV / PRкуда + Sx},3
225,опоздать,Я боялся опоздать на концерт  и очень торопился,Snom V на + Sacc,2
226,опоздать, Так ты можешь опоздать на урок ,Snom V на + Sacc,2
227,опаздывать,Я боялся опоздать на концерт  и очень торопился,Snom V на + Sacc,2
228,опаздывать, Так ты можешь опоздать на урок ,Snom V на + Sacc,2
229,щелкнуть,В кустах  щелкают соловьи,Snom V {ADV / PRгде + Sx},2
230,щелкнуть, Над лесом щелкают птицы,Snom V {ADV / PRгде + Sx},2
231,щелкнуть, Позади их щелкнули затворы,Snom V {ADV / PRгде + Sx},2
232,предположить,"Предположим, что вы правы ",Snom V Conj + CL,2
233,предположить," Ирина предполагала, что Петр уже уехал",Snom V Conj + CL,2
234,предположить," Предположим даже, что это случится завтра",Snom V Conj + CL,2
235,грозить,Самолету грозила авария,Snom V Sdat,2
236,грозить, Стране грозил экономический кризис,Snom V Sdat,2
237,грозить, Моему другу грозила ссылка ,Snom V Sdat,2
238,грозить, Заводу грозила остановка,Snom V Sdat,2
239,грозить, Городу грозило наводнение,Snom V Sdat,2
240,грозить, Ему грозит опасность,Snom V Sdat,2
241,погрозить,Самолету грозила авария,Snom V Sdat,2
242,погрозить, Стране грозил экономический кризис,Snom V Sdat,2
243,погрозить, Моему другу грозила ссылка ,Snom V Sdat,2
244,погрозить, Заводу грозила остановка,Snom V Sdat,2
245,погрозить, Городу грозило наводнение,Snom V Sdat,2
246,погрозить, Ему грозит опасность,Snom V Sdat,2
247,объяснять,Обилие впечатлений объясняет тревогу мальчика,Snom V Sacc,2
248,объяснять," Объективные трудности объясняют многое, но не все",Snom V Sacc,2
249,уложить,Рабочие укладывают мешки в углу склада ,Snom V Sacc {ADV / PRгде + Sx},3
250,уложить, Где будем укладывать вещи?,Snom V Sacc {ADV / PRгде + Sx},3
251,погладить,Всадник легонько гладил лошадь по шее,Snom V Sacc по + Sdat,3
252,погладить, Учитель погладил мальчика по голове  и посадил на место,Snom V Sacc по + Sdat,3
253,писать,Ты уже написал письмо ,Snom V Sacc,2
254,писать, Вам придется писать объяснительную  записку,Snom V Sacc,2
255,написать,Ты уже написал письмо ,Snom V Sacc,2
256,написать, Вам придется писать объяснительную  записку,Snom V Sacc,2
257,задать,Он не задал ни одного вопроса,Snom V вопрос,2
258,задать," Адвокат задал свои вопросы, после чего объявили перерыв",Snom V вопрос,2
259,задавать,Он не задал ни одного вопроса,Snom V вопрос,2
260,задавать," Адвокат задал свои вопросы, после чего объявили перерыв",Snom V вопрос,2
261,вопрос,Он не задал ни одного вопроса,Snom V вопрос,2
262,вопрос," Адвокат задал свои вопросы, после чего объявили перерыв",Snom V вопрос,2
263,замерзать,Вода замерзла,Snom V,1
264,замерзать, Чернила замерзли,Snom V,1
265,собираться,"Соберись с мыслями! Собравшись с силами, раненый пополз дальше",Snom V с + Sins,2
266,собираться," Девушка собралась с духом и сказала, что отказывается выполнять приказ",Snom V с + Sins,2
267,цитировать,Все стихи в этой книги я цитирую исключительно по памяти,Snom V Sacc {по + Sdat / на + Sacc},3
268,процитировать,Все стихи в этой книги я цитирую исключительно по памяти,Snom V Sacc {по + Sdat / на + Sacc},3
269,взбесить,Его наглая ухмылка бесила жену,Snom V Sacc,2
270,взбесить, Меня раздражали и бесили нелепые толки о моей стране,Snom V Sacc,2
271,взбесить, Подросток взбесил сторожа,Snom V Sacc,2
272,показывать,"Химический анализ показал, что в пище содержался яд",Snom V что + CL,2
273,внушать,Вы всем внушаете уважение,Snom V Sacc Sdat,3
274,внушать, Его болезненный вид внушал нам опасение по поводу его здоровья,Snom V Sacc Sdat,3
275,во + всю + прыть,Ласточка пустилась во всю прыть вверх по лестнице,Snom V во + всю + прыть,5
276,прорезаться,Прорежется ли зуб новой философии?,Snom V,1
277,прогреметь,В небе неожиданно прогремело пушечным выстрелом,Vimpers Sins {ADV / PRгде + Sx},2
278,ударять,Запах бензина  ударил ему в ноздри,Snom V в + Sacc Sdat,3
279,ударять, Кровь ударила ему в виски,Snom V в + Sacc Sdat,3
280,ударять, Вино ударило ему в голову,Snom V в + Sacc Sdat,3
281,вдохновлять,Он вдохновил измученных людей этой радостной вестью,Snom V Sacc Sins,3
282,прорезаться,из несуразицы постепенно прорезался смысл,Snom V {ADV / PRоткуда + Sx},2
283,победить,"В ночном бою побеждает тот, у кого крепче нервы",Snom V в + Sloc,2
284,побеждать,"В ночном бою побеждает тот, у кого крепче нервы",Snom V в + Sloc,2
285,победить,Молодой организм  болезнь,Snom V Sacc,2
286,победить, Иван побеждает свою усталость ,Snom V Sacc,2
287,победить, Я мало-помалу победила свою застенчивость,Snom V Sacc,2
288,победить," Миклухо-Маклай, наконец, победил недоверчивость туземцев",Snom V Sacc,2
289,побеждать,Молодой организм  болезнь,Snom V Sacc,2
290,побеждать, Иван побеждает свою усталость ,Snom V Sacc,2
291,побеждать, Я мало-помалу победила свою застенчивость,Snom V Sacc,2
292,побеждать," Миклухо-Маклай, наконец, победил недоверчивость туземцев",Snom V Sacc,2
293,взволновать,Судьба этого человека всех нас волнует,Snom V Sacc,2
294,взволновать, Разговор взволновал больного,Snom V Sacc,2
295,взволновать, Игра артистки волнует зрителей,Snom V Sacc,2
296,взволновать, Досада томит и волнует душу,Snom V Sacc,2
297,взволновать," Его волновало, что он работает хуже других",Snom V Sacc,2
298,добавить,"«Несчастье может случиться со всяким», -добавил старик",Snom V «CL»,2
299,добавлять,"«Несчастье может случиться со всяким», -добавил старик",Snom V «CL»,2
300,расстроить,Кавалерия расстраивает ряды противника,Snom V Sacc,2
301,расстраивать,Кавалерия расстраивает ряды противника,Snom V Sacc,2
302,собираться,(У моего дедушки) собралась великолепная библиотека ,Snom V,1
303,собираться, Собрался очень ценный материал,Snom V,1
304,влюбиться,А почему бы не влюбиться?,Snom V,1
305,обеспечивать,"Отец обеспечивал семью всем необходимым, Мы должны обеспечить область семенами ",Snom V Sacc Sins,3
306,обеспечивать, Он считал себя обеспеченным деньгами,Snom V Sacc Sins,3
307,потребовать,"Правила требуют, чтобы проситель дожидался вызова в коридоре",Snom V чтобы + CL,2
308,делать,делать ставку на кого-л,Snom V ставку на + Sacc,3
309,делать,", что-л",Snom V ставку на + Sacc,3
310,ставку,делать ставку на кого-л,Snom V ставку на + Sacc,3
311,ставку,", что-л",Snom V ставку на + Sacc,3
312,разобрать,Его почерк  мне не разобрать,Snom V Sacc,2
313,разобрать, Первых слов она не разобрала,Snom V Sacc,2
314,разобрать, В темноте ничего нельзя было разобрать,Snom V Sacc,2
315,разобрать, Он не разобрал вкуса яблок,Snom V Sacc,2
316,разбирать,Его почерк  мне не разобрать,Snom V Sacc,2
317,разбирать, Первых слов она не разобрала,Snom V Sacc,2
318,разбирать, В темноте ничего нельзя было разобрать,Snom V Sacc,2
319,разбирать, Он не разобрал вкуса яблок,Snom V Sacc,2
320,прервать,"Когда он, мгновенно сообразив, дёрнулся было что-то врать насчёт того, что кто-то у него дома болен, его прервали тремя словами: «более чем обязательно»",Snom V Sacc Sins,3
321,пристать,Шлюпка  пристала к берегу,Snom V к + Sdat,2
322,пристать, Юркие джонки приставали к высоким бортам судна,Snom V к + Sdat,2
323,приставать,Шлюпка  пристала к берегу,Snom V к + Sdat,2
324,приставать, Юркие джонки приставали к высоким бортам судна,Snom V к + Sdat,2
325,избрать,"Вы сделали ошибку, избрав Иванова (нас)",Snom V Sacc,2
326,ассоциировать,Я всегда ассоциирую яркие краски с Югом ,Snom V Sacc с + Sins,3
327,ассоциировать, С тех пор она ассоциировала шум мотора с надвигающейся бедой,Snom V Sacc с + Sins,3
328,успокаиваться,Море успокоилось,Snom V,1
329,оторваться,"Прыгун скользнул вниз по трамплину, оторвался и, казалось, лег грудью на воздух",Snom V,1
330,обеспокоиться,"Мальчик долго не возвращался, и мать начала беспокоиться",Snom V,1
331,обеспокоиться," Не нужно беспокоиться, все будет прекрасно",Snom V,1
332,прийтись,Придется отказать вам,Vimpers Vinf,1
333,прийтись, Пришлось уступить ее настойчивой просьбе,Vimpers Vinf,1
334,прийтись, Все чаще приходится тебя поправлять,Vimpers Vinf,1
335,приходиться,Придется отказать вам,Vimpers Vinf,1
336,приходиться, Пришлось уступить ее настойчивой просьбе,Vimpers Vinf,1
337,приходиться, Все чаще приходится тебя поправлять,Vimpers Vinf,1
338,принимать,Президент еще не принял решения по этому вопросу,Snom V Sacc,2
339,принимать, Собрание приняло компромиссную резолюцию ,Snom V Sacc,2
340,принимать, Парламент принял новый закон о земле,Snom V Sacc,2
341,принимать, Съезд принял новую программу партии ,Snom V Sacc,2
342,пробивать,Он пробил у фелюги бок,Snom V Sacc у + Sgen,3
343,соблюдать,Больной соблюдает диету,Snom V Sacc,2
344,соблюдать, Соблюдайте очередь ,Snom V Sacc,2
345,соблюсти,Больной соблюдает диету,Snom V Sacc,2
346,соблюсти, Соблюдайте очередь ,Snom V Sacc,2
347,наказать,«Локомотив» в переигровке наказал швайцарцев за буквоедство разгромом,Snom V Sacc за + Sacc в + Sloc Sins,5
348,наказывать,«Локомотив» в переигровке наказал швайцарцев за буквоедство разгромом,Snom V Sacc за + Sacc в + Sloc Sins,5
349,избрать,Многие страны избрали демократическую модель за основу политической системы,Snom V Sacc за + Sacc,3
350,вырабатывать,Вы уже выработали план эвакуации школы? На съезде была выработана программа действий,Snom V Sacc,2
351,постыдиться,"Мой брат стыдился, что до сих пор не получил никакого серьезного образованиями",Snom V что + CL,2
352,оценить,"Поверь, я оценил твое великодушие ",Snom V Sacc,2
353,оценивать,"Поверь, я оценил твое великодушие ",Snom V Sacc,2
