,sentence,word,role,index
32,"Набор героев программы расширился самым причудливым образом, да и «злословия» стало меньше.",программа,posessor,2.0
33,"Набор героев программы расширился самым причудливым образом, да и «злословия» стало меньше.",злословие,patient,9.0
34,А года два назад концепцию «Школы злословия» как будто подменили.,год,time,1.0
35,"В студию все чаще стали приходить малоизвестные широкой публике люди – как говорится, «немедийные лица»: популярные блогеры, ученые-гуманитарии, кое-кто заглядывал на огонек просто по дружбе.",публика,addressee,8.0
36,"В студию все чаще стали приходить малоизвестные широкой публике люди – как говорится, «немедийные лица»: популярные блогеры, ученые-гуманитарии, кое-кто заглядывал на огонек просто по дружбе.",человек,agent,9.0
37,"В студию все чаще стали приходить малоизвестные широкой публике люди – как говорится, «немедийные лица»: популярные блогеры, ученые-гуманитарии, кое-кто заглядывал на огонек просто по дружбе.",лицо,second_member,14.0
38,"В студию все чаще стали приходить малоизвестные широкой публике люди – как говорится, «немедийные лица»: популярные блогеры, ученые-гуманитарии, кое-кто заглядывал на огонек просто по дружбе.",популярный,second_member,15.0
39,"В студию все чаще стали приходить малоизвестные широкой публике люди – как говорится, «немедийные лица»: популярные блогеры, ученые-гуманитарии, кое-кто заглядывал на огонек просто по дружбе.",блогер,second_member,16.0
43,"Но самое главное, резко сместился вектор разговора.",вектор,patient,5.0
45,"Изначально нацеленный собственно на личность гостя, теперь интерес ведущих расширился до самых общих вопросов социально-исторического, а то и чисто философского характера.",гость,goal,5.0
46,"Изначально нацеленный собственно на личность гостя, теперь интерес ведущих расширился до самых общих вопросов социально-исторического, а то и чисто философского характера.",интерес,patient,7.0
47,"Изначально нацеленный собственно на личность гостя, теперь интерес ведущих расширился до самых общих вопросов социально-исторического, а то и чисто философского характера.",вопрос,endpoint,13.0
48,"В момент, когда все остальные программы общественно-политической (по характеру) и либерально-интеллигентской направленности (по настрою) ушли одна за другой в небытие, «Школа злословия» стала как бы заповедником «свободы слова».",программа,agent,5.0
49,"В момент, когда все остальные программы общественно-политической (по характеру) и либерально-интеллигентской направленности (по настрою) ушли одна за другой в небытие, «Школа злословия» стала как бы заповедником «свободы слова».",характер,aspect,8.0
50,"В момент, когда все остальные программы общественно-политической (по характеру) и либерально-интеллигентской направленности (по настрою) ушли одна за другой в небытие, «Школа злословия» стала как бы заповедником «свободы слова».",направленность,theme,11.0
51,"В момент, когда все остальные программы общественно-политической (по характеру) и либерально-интеллигентской направленности (по настрою) ушли одна за другой в небытие, «Школа злословия» стала как бы заповедником «свободы слова».",настрой,aspect,13.0
53,"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",герой,recipient,8.0
55,"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",дорога,trajectory,17.0
56,"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",татьяна,trajectory,23.0
57,"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",никитична,trajectory,24.0
58,"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",авдотья,trajectory,26.0
59,"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",андреевна,trajectory,27.0
60,"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",народ,agent,32.0
61,"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",политолог,second_member,33.0
62,"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",публицист,second_member,34.0
63,Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,программа,agent,0.0
64,Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,гость,recipient,2.0
65,Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,канал,place,8.0
66,Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,гость,benefactive,2.0
67,Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,тот,term,16.0
68,Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,период,term,17.0
70,Однако в минувшем сезоне задвинутый еще глубже в ночной эфир проект снова сделал любопытный тематический крен.,проект,agent,10.0
71,"Наряду с авторами популярных интернет-дневников и малоизвестными, но вызывающими явную симпатию ведущими персонажами из круга профессионалов массмедиа в студии снова стали появляться народные любимцы.",круг,counterparty,14.0
72,"Наряду с авторами популярных интернет-дневников и малоизвестными, но вызывающими явную симпатию ведущими персонажами из круга профессионалов массмедиа в студии снова стали появляться народные любимцы.",профессионал,counterparty,15.0
73,"Наряду с авторами популярных интернет-дневников и малоизвестными, но вызывающими явную симпатию ведущими персонажами из круга профессионалов массмедиа в студии снова стали появляться народные любимцы.",массмедиа,second_member,16.0
75,"Артисты, представители юмористического цеха и т.п.",артист,agent,0.0
76,"Артисты, представители юмористического цеха и т.п.",представитель,agent,1.0
77,"К примеру, коллега Татьяны Толстой по шоу Первого канала «Минута славы», резидент «Комеди клаба» Гарик Мартиросян.",татьяна,posessor,3.0
78,"К примеру, коллега Татьяны Толстой по шоу Первого канала «Минута славы», резидент «Комеди клаба» Гарик Мартиросян.",толстая,posessor,4.0
79,"К примеру, коллега Татьяны Толстой по шоу Первого канала «Минута славы», резидент «Комеди клаба» Гарик Мартиросян.",шоу,place,6.0
80,"К примеру, коллега Татьяны Толстой по шоу Первого канала «Минута славы», резидент «Комеди клаба» Гарик Мартиросян.",канал,posessor,8.0
81,"К примеру, коллега Татьяны Толстой по шоу Первого канала «Минута славы», резидент «Комеди клаба» Гарик Мартиросян.",слава,posessor,10.0
82,Или участница «О.С.П.-студии» Татьяна Лазарева.,участница,agent,1.0
83,Или участница «О.С.П.-студии» Татьяна Лазарева.,татьяна,agent,3.0
85,Цикл программ был посвящен крупным фигурам Большого театра.,цикл,patient,0.0
86,Цикл программ был посвящен крупным фигурам Большого театра.,программа,posessor,1.0
87,Цикл программ был посвящен крупным фигурам Большого театра.,фигура,recipient,5.0
88,Цикл программ был посвящен крупным фигурам Большого театра.,большой,posessor,6.0
90,"Правда, это как раз тот случай, когда интересы ведущих совпадают с тем, чего ждет от программы зритель: встречи с дирижером Александром Ведерниковым, балетмейстером Алексеем Ратманским и басом Владимиром Маториным оказались едва ли не самыми увлекательными за весь минувший сезон «Школы…».",ведущий,posessor,8.0
91,"Правда, это как раз тот случай, когда интересы ведущих совпадают с тем, чего ждет от программы зритель: встречи с дирижером Александром Ведерниковым, балетмейстером Алексеем Ратманским и басом Владимиром Маториным оказались едва ли не самыми увлекательными за весь минувший сезон «Школы…».",программа,motivation,15.0
92,"Правда, это как раз тот случай, когда интересы ведущих совпадают с тем, чего ждет от программы зритель: встречи с дирижером Александром Ведерниковым, балетмейстером Алексеем Ратманским и басом Владимиром Маториным оказались едва ли не самыми увлекательными за весь минувший сезон «Школы…».",зритель,agent,16.0
93,"Правда, это как раз тот случай, когда интересы ведущих совпадают с тем, чего ждет от программы зритель: встречи с дирижером Александром Ведерниковым, балетмейстером Алексеем Ратманским и басом Владимиром Маториным оказались едва ли не самыми увлекательными за весь минувший сезон «Школы…».",встреча,second_member,17.0
94,"Не представляю, какой процент телезрителей имеет познания в египтологи, достаточные для того, чтобы вопреки всему, что было сказано в программе с обеих сторон, составить собственное представление о предмете.",процент,patient,3.0
95,"Не представляю, какой процент телезрителей имеет познания в египтологи, достаточные для того, чтобы вопреки всему, что было сказано в программе с обеих сторон, составить собственное представление о предмете.",сторона,counterparty,22.0
96,"Разговор шел вокруг того, можно ли выучить древнеегипетский за три года.",разговор,agent,0.0
97,"Разговор шел вокруг того, можно ли выучить древнеегипетский за три года.",древнеегипетский,result,7.0
99,"Татьяна Толстая, будучи сама филологом-«классиком», утверждала, что нельзя, гость – что можно.",татьяна,agent,0.0
101,"Татьяна Толстая, будучи сама филологом-«классиком», утверждала, что нельзя, гость – что можно.",гость,agent,8.0
102,"От египтолога хотелось бы услышать что-то если уж не про Египет, то хотя бы про нашу жизнь через призму его знаний об истории, или о современных научных методах познания прошлого.",египтолог,patient,1.0
103,"От египтолога хотелось бы услышать что-то если уж не про Египет, то хотя бы про нашу жизнь через призму его знаний об истории, или о современных научных методах познания прошлого.",знание,posessor,20.0
104,"От египтолога хотелось бы услышать что-то если уж не про Египет, то хотя бы про нашу жизнь через призму его знаний об истории, или о современных научных методах познания прошлого.",познание,posessor,28.0
106,В наказание Татьяна и Авдотья устроили молодому специалисту настоящее «мочилово». ,татьяна,agent,2.0
107,В наказание Татьяна и Авдотья устроили молодому специалисту настоящее «мочилово». ,авдотья,agent,4.0
108,В наказание Татьяна и Авдотья устроили молодому специалисту настоящее «мочилово». ,специалист,recipient,7.0
109,Шарада от Шеридана,шарада,agent,0.0
110,Апокалиптический настрой ведущих заметен.,ведущий,posessor,2.0
111,"Как и их самоощущение в роли последних героев телеэфира, отношение к собственным словам, как к откровению о конце света.",герой,theme,7.0
113,"В выпуске с участием Татьяны Лазаревой Толстая заметила, что «Школа злословия» уже умерла и ведет «потустороннее» существование, а потому, в отличие от других, «живых» проектов, может длиться сколь угодно долго.",татьяна,second_member,4.0
114,"В выпуске с участием Татьяны Лазаревой Толстая заметила, что «Школа злословия» уже умерла и ведет «потустороннее» существование, а потому, в отличие от других, «живых» проектов, может длиться сколь угодно долго.",лазарева,second_member,5.0
116,"В выпуске с участием Татьяны Лазаревой Толстая заметила, что «Школа злословия» уже умерла и ведет «потустороннее» существование, а потому, в отличие от других, «живых» проектов, может длиться сколь угодно долго.",школа,agent,9.0
117,"В выпуске с участием Татьяны Лазаревой Толстая заметила, что «Школа злословия» уже умерла и ведет «потустороннее» существование, а потому, в отличие от других, «живых» проектов, может длиться сколь угодно долго.",злословие,agent,10.0
118,"В выпуске с участием Татьяны Лазаревой Толстая заметила, что «Школа злословия» уже умерла и ведет «потустороннее» существование, а потому, в отличие от других, «живых» проектов, может длиться сколь угодно долго.",проект,second_member,24.0
119,"Этот настрой распространился не только на политическую сферу, но и на все остальные, включая искусство, прекрасное и безобразное, актуальное и старомодное.",настрой,patient,1.0
120,"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",они,agent,1.0
121,"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",гость,patient,5.0
122,"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",гость,patient,5.0
123,"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",они,agent,1.0
124,"Судя по тому, что программа не только возвращается в эфир, но и меняет формат, информация о ее смерти пока все-таки сильно преувеличена.",программа,patient,4.0
125,"Судя по тому, что программа не только возвращается в эфир, но и меняет формат, информация о ее смерти пока все-таки сильно преувеличена.",информация,patient,14.0
126,"А потому самый интересный вопрос, который может волновать поклонников программы, – будет ли расти или падать в новом сезоне «градус» злословия ведущих.",программа,posessor,9.0
127,"А потому самый интересный вопрос, который может волновать поклонников программы, – будет ли расти или падать в новом сезоне «градус» злословия ведущих.",градус,agent,19.0
128,"При этом, возможно, стоит напомнить, что само выражение «Школа злословия» изначально обозначало совсем не то, что мы привыкли думать.",выражение,patient,7.0
129,"В названии классической английской комедии Шеридана использована формула, традиционная для драматургии XVII–XVIII веков («Школа жен» Мольера и т.д.) и точнее всего ее можно перевести как «урок злым языкам».",комедия,posessor,4.0
130,"В названии классической английской комедии Шеридана использована формула, традиционная для драматургии XVII–XVIII веков («Школа жен» Мольера и т.д.) и точнее всего ее можно перевести как «урок злым языкам».",формула,patient,7.0
131,"В названии классической английской комедии Шеридана использована формула, традиционная для драматургии XVII–XVIII веков («Школа жен» Мольера и т.д.) и точнее всего ее можно перевести как «урок злым языкам».",драматургия,benefactive,10.0
132,"В названии классической английской комедии Шеридана использована формула, традиционная для драматургии XVII–XVIII веков («Школа жен» Мольера и т.д.) и точнее всего ее можно перевести как «урок злым языкам».",век,time,12.0
133,"В названии классической английской комедии Шеридана использована формула, традиционная для драматургии XVII–XVIII веков («Школа жен» Мольера и т.д.) и точнее всего ее можно перевести как «урок злым языкам».",мольер,posessor,15.0
134,"В названии классической английской комедии Шеридана использована формула, традиционная для драматургии XVII–XVIII веков («Школа жен» Мольера и т.д.) и точнее всего ее можно перевести как «урок злым языкам».",она,posessor,21.0
136,"То есть речь идет отнюдь не о мастер-классе злоязычия, но напротив, если говорить совсем прямо, о том, что если кто злословит понапрасну да еще клевещет, непременно вынужден будет сам прикусить язык.",кто,agent,19.0
137,«Последнее восстание» в Сеуле,восстание,agent,1.0
138,Международная биеннале медиаискусства,биеннале,posessor,1.0
139,«Последнее восстание» в исполнении знаменитой российской арт-группы АЕС+Ф состоялось 12 сентября 2008 года на открытии V Сеульской международной биеннале медиаискусства.,восстание,patient,1.0
140,«Последнее восстание» в исполнении знаменитой российской арт-группы АЕС+Ф состоялось 12 сентября 2008 года на открытии V Сеульской международной биеннале медиаискусства.,сентябрь,time,10.0
141,«Последнее восстание» в исполнении знаменитой российской арт-группы АЕС+Ф состоялось 12 сентября 2008 года на открытии V Сеульской международной биеннале медиаискусства.,год,time,12.0
142,«Последнее восстание» в исполнении знаменитой российской арт-группы АЕС+Ф состоялось 12 сентября 2008 года на открытии V Сеульской международной биеннале медиаискусства.,биеннале,posessor,18.0
143,"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",художник,recipient,2.0
144,"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",татьяна,recipient,3.0
146,"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",лев,recipient,5.0
148,"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",евгений,recipient,8.0
150,"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",фамилия,posessor,13.0
