,sent_text,target,argument,label
20,"He also brought the Ark of the Covenant , the portable tabernacle containing the Tablets of the Law received on Mount Sinai , to the Spring of Gihon , just outside the walls of Jerusalem .",brought,Spring,goal
21,"The Temple ( today known as the `` First '' Temple ) was completed by David 's son and successor , King Solomon .",known,Temple,entity
22,"The Temple ( today known as the `` First '' Temple ) was completed by David 's son and successor , King Solomon .",known,First,name
23,"According to biblical tradition , although David bought the land for the Temple and carefully assembled its building materials , he was deemed unworthy of constructing the Temple because he was a man of war with blood on his hands .",bought,David,buyer
24,"According to biblical tradition , although David bought the land for the Temple and carefully assembled its building materials , he was deemed unworthy of constructing the Temple because he was a man of war with blood on his hands .",bought,land,goods
25,"According to biblical tradition , although David bought the land for the Temple and carefully assembled its building materials , he was deemed unworthy of constructing the Temple because he was a man of war with blood on his hands .",bought,Temple,purpose
26,"According to biblical tradition , although David bought the land for the Temple and carefully assembled its building materials , he was deemed unworthy of constructing the Temple because he was a man of war with blood on his hands .",assembled,building,individuals
27,"According to biblical tradition , although David bought the land for the Temple and carefully assembled its building materials , he was deemed unworthy of constructing the Temple because he was a man of war with blood on his hands .",assembled,David,agent
28,"According to biblical tradition , although David bought the land for the Temple and carefully assembled its building materials , he was deemed unworthy of constructing the Temple because he was a man of war with blood on his hands .",constructing,he,agent
29,"According to biblical tradition , although David bought the land for the Temple and carefully assembled its building materials , he was deemed unworthy of constructing the Temple because he was a man of war with blood on his hands .",constructing,Temple,created_entity
30,"At the Temple 's dedication , Solomon addressed his God : `` ... the Heavens , even the Heaven of the Heavens , can not contain Thee ; how much less this House that I have built ? ''",addressed,Solomon,speaker
31,"At the Temple 's dedication , Solomon addressed his God : `` ... the Heavens , even the Heaven of the Heavens , can not contain Thee ; how much less this House that I have built ? ''",addressed,God,addressee
32,"At the Temple 's dedication , Solomon addressed his God : `` ... the Heavens , even the Heaven of the Heavens , can not contain Thee ; how much less this House that I have built ? ''",addressed,Temple,occasion
33,"At the Temple 's dedication , Solomon addressed his God : `` ... the Heavens , even the Heaven of the Heavens , can not contain Thee ; how much less this House that I have built ? ''",built,I,agent
34,"At the Temple 's dedication , Solomon addressed his God : `` ... the Heavens , even the Heaven of the Heavens , can not contain Thee ; how much less this House that I have built ? ''",built,House,created_entity
35,"The site of the Temple eventually became identified as Mt. Moriah , on which it stood , where Abraham was called to sacrifice his son Isaac .",stood,it,theme
36,"The site of the Temple eventually became identified as Mt. Moriah , on which it stood , where Abraham was called to sacrifice his son Isaac .",stood,Mt,location
37,"The site of the Temple eventually became identified as Mt. Moriah , on which it stood , where Abraham was called to sacrifice his son Isaac .",sacrifice,Abraham,guardian
38,"The site of the Temple eventually became identified as Mt. Moriah , on which it stood , where Abraham was called to sacrifice his son Isaac .",sacrifice,son,object
39,"Along with this splendid house of worship , Solomon built a royal palace , mansions for his wives , temples for the foreign gods worshipped by the princesses he had married , and towers for the defense of the capital .",married,princesses,partner_2
40,"Along with this splendid house of worship , Solomon built a royal palace , mansions for his wives , temples for the foreign gods worshipped by the princesses he had married , and towers for the defense of the capital .",married,he,partner_1
41,The Bible tells us that the cruelty and impiety of the rulers of both kingdoms aroused the fury of the great Prophets .,tells,Bible,speaker
42,The Bible tells us that the cruelty and impiety of the rulers of both kingdoms aroused the fury of the great Prophets .,tells,us,addressee
43,In 701 b.c. the Assyrian armies of Sennacherib destroyed Israel and moved southward to besiege Jerusalem .,destroyed,b.c,time
44,In 701 b.c. the Assyrian armies of Sennacherib destroyed Israel and moved southward to besiege Jerusalem .,destroyed,Israel,patient
45,In 701 b.c. the Assyrian armies of Sennacherib destroyed Israel and moved southward to besiege Jerusalem .,moved,b.c,time
46,In 701 b.c. the Assyrian armies of Sennacherib destroyed Israel and moved southward to besiege Jerusalem .,moved,Jerusalem,purpose
47,"Thanks to King Hezekiah 's hidden water tunnel , the city narrowly escaped destruction .",escaped,city,agent
48,"Thanks to King Hezekiah 's hidden water tunnel , the city narrowly escaped destruction .",escaped,destruction,undesirable_situation
49,"The end of David 's dynasty came in 587 b.c. , when Nebuchadnezzar , King of Babylon , invaded Judah to lay siege to Jerusalem .",invaded,Judah,land
50,"The end of David 's dynasty came in 587 b.c. , when Nebuchadnezzar , King of Babylon , invaded Judah to lay siege to Jerusalem .",invaded,siege,purpose
51,"In time , the kingdom of Babylon was overthrown and the Israelites were permitted to return to Jerusalem in 539 b.c. The city was now under the more tolerant rule of the Persians , but rebuilding was slow work .",return,Jerusalem,goal
52,"In time , the kingdom of Babylon was overthrown and the Israelites were permitted to return to Jerusalem in 539 b.c. The city was now under the more tolerant rule of the Persians , but rebuilding was slow work .",return,b.c,time
53,"Jerusalem submitted peaceably to the rule of the Greeks in 332 b.c. under Alexander the Great and , subsequently , to his Hellenistic successors as well as the Egyptian Ptolomeys and the Syrian Seleucids .",submitted,Jerusalem,capitulator
54,"Jerusalem submitted peaceably to the rule of the Greeks in 332 b.c. under Alexander the Great and , subsequently , to his Hellenistic successors as well as the Egyptian Ptolomeys and the Syrian Seleucids .",submitted,b.c,time
55,"Jerusalem submitted peaceably to the rule of the Greeks in 332 b.c. under Alexander the Great and , subsequently , to his Hellenistic successors as well as the Egyptian Ptolomeys and the Syrian Seleucids .",submitted,rule,force
56,The Macabbees cleansed the Temple of Hellenistic idols and the blood of pagan sacrifices ; the eight - day celebration of Hanukkah ( Feast of Dedication ) commemorates their victory .,cleansed,Macabbees,agent
57,The Macabbees cleansed the Temple of Hellenistic idols and the blood of pagan sacrifices ; the eight - day celebration of Hanukkah ( Feast of Dedication ) commemorates their victory .,cleansed,Temple,source
58,The Hasmoneans ruled until Pompey 's Roman legions arrived in 63 b.c.,arrived,Pompey,theme
59,The Hasmoneans ruled until Pompey 's Roman legions arrived in 63 b.c.,arrived,b.c,time
60,"After the initial years of Roman administration and political infighting , Rome installed Herod ( scion of a family from Idumea , a Jewish kingdom in the desert ) as King of Judea .",installed,Rome,selector
61,"After the initial years of Roman administration and political infighting , Rome installed Herod ( scion of a family from Idumea , a Jewish kingdom in the desert ) as King of Judea .",installed,King,role
62,"He reigned from 37 to 4 b.c. , during which time he fortified the Hasmonean wall and rebuilt the defense towers beside Jaffa Gate , the foundation of which still stand .",reigned,He,leader
63,"He reigned from 37 to 4 b.c. , during which time he fortified the Hasmonean wall and rebuilt the defense towers beside Jaffa Gate , the foundation of which still stand .",reigned,b.c,duration
64,"He reigned from 37 to 4 b.c. , during which time he fortified the Hasmonean wall and rebuilt the defense towers beside Jaffa Gate , the foundation of which still stand .",fortified,he,agent
65,"He reigned from 37 to 4 b.c. , during which time he fortified the Hasmonean wall and rebuilt the defense towers beside Jaffa Gate , the foundation of which still stand .",fortified,Hasmonean,patient
66,"He reigned from 37 to 4 b.c. , during which time he fortified the Hasmonean wall and rebuilt the defense towers beside Jaffa Gate , the foundation of which still stand .",fortified,b.c,time
67,"He reigned from 37 to 4 b.c. , during which time he fortified the Hasmonean wall and rebuilt the defense towers beside Jaffa Gate , the foundation of which still stand .",beside,defense,figure
68,"He reigned from 37 to 4 b.c. , during which time he fortified the Hasmonean wall and rebuilt the defense towers beside Jaffa Gate , the foundation of which still stand .",beside,Jaffa,ground
69,"A massive fortress was built overlooking the Temple Mount , which Herod named `` Antonia '' in honor of his Roman friend and benefactor , Mark Antony .",named,Temple,entity
70,"A massive fortress was built overlooking the Temple Mount , which Herod named `` Antonia '' in honor of his Roman friend and benefactor , Mark Antony .",named,Herod,speaker
71,"A massive fortress was built overlooking the Temple Mount , which Herod named `` Antonia '' in honor of his Roman friend and benefactor , Mark Antony .",named,Antonia,name
72,"For all his accomplishments , Herod was nevertheless hated by his subjects ; he taxed , he tortured , and he ordered the massacre of male Jewish infants in an attempt to do away with the heralded Messiah .",hated,Herod,content
73,"For all his accomplishments , Herod was nevertheless hated by his subjects ; he taxed , he tortured , and he ordered the massacre of male Jewish infants in an attempt to do away with the heralded Messiah .",hated,subjects,experiencer
74,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod 's paranoia by fleeing into Egypt with the new - born infant .",born,Jesus,child
75,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod 's paranoia by fleeing into Egypt with the new - born infant .",born,b.c,time
76,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod 's paranoia by fleeing into Egypt with the new - born infant .",escaped,b.c,time
77,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod 's paranoia by fleeing into Egypt with the new - born infant .",escaped,Joseph,agent
78,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod 's paranoia by fleeing into Egypt with the new - born infant .",escaped,Herod,undesirable_situation
79,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod 's paranoia by fleeing into Egypt with the new - born infant .",fleeing,Egypt,goal
80,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod 's paranoia by fleeing into Egypt with the new - born infant .",fleeing,Joseph,self_mover
81,"In about a.d. 30 he and his followers went for Passover to Jerusalem , which was in unrest at this time , dissatisfied with Roman domination .",went,he,theme
82,"In about a.d. 30 he and his followers went for Passover to Jerusalem , which was in unrest at this time , dissatisfied with Roman domination .",went,Passover,purpose
83,"After Jesus 's crucifixion , harsh Roman rule continued until a.d. 66 , when the Jews rebelled .",continued,Roman,event
84,"After Jesus 's crucifixion , harsh Roman rule continued until a.d. 66 , when the Jews rebelled .",continued,Jews,time
85,For four years Jewish zealots fought against the might of Rome .,fought,years,duration
86,For four years Jewish zealots fought against the might of Rome .,fought,zealots,side_1
87,For four years Jewish zealots fought against the might of Rome .,fought,Rome,side_2
88,"Half a million civilians died in the Galilee and Judea as a result of this first revolt against Rome , a number unequaled in ancient warfare .",died,civilians,protagonist
89,"Half a million civilians died in the Galilee and Judea as a result of this first revolt against Rome , a number unequaled in ancient warfare .",died,Galilee,place
90,"In outrage , the Jews began a second revolt against Rome , led by Simon bar Kochba .",began,Jews,agent
91,"In outrage , the Jews began a second revolt against Rome , led by Simon bar Kochba .",began,outrage,depictive
92,"But the Roman Empire became Christian in the fourth century , and Jerusalem became a center of religion once again .",became,Roman,entity
93,"But the Roman Empire became Christian in the fourth century , and Jerusalem became a center of religion once again .",became,Christian,final_quality
94,"But the Roman Empire became Christian in the fourth century , and Jerusalem became a center of religion once again .",became,century,time
95,"But the Roman Empire became Christian in the fourth century , and Jerusalem became a center of religion once again .",became,Jerusalem,entity
96,"But the Roman Empire became Christian in the fourth century , and Jerusalem became a center of religion once again .",became,center,final_category
97,"Queen Helena , a devout Christian and the mother of Emperor Constantine the Great , made a pilgrimage to the Holy Land in 326 to identify the sites associated with Jesus 's life .",associated,Jesus,concept_2
98,"Queen Helena , a devout Christian and the mother of Emperor Constantine the Great , made a pilgrimage to the Holy Land in 326 to identify the sites associated with Jesus 's life .",associated,sites,concept_1
99,"The temple was demolished and a vast , Classical - style church was built around Golgotha ( the hill where Jesus 's crucifixion was believed to have taken place ) .",taken,hill,place
100,"The temple was demolished and a vast , Classical - style church was built around Golgotha ( the hill where Jesus 's crucifixion was believed to have taken place ) .",taken,Jesus,event
101,"Pilgrims came from all over the Roman ( and , later , Byzantine ) Empire during the following centuries , but the prosperity they brought lasted only until 614 , when Persian armies overtook Judea and reduced Jerusalem to rubble again .",brought,prosperity,effect
102,"Pilgrims came from all over the Roman ( and , later , Byzantine ) Empire during the following centuries , but the prosperity they brought lasted only until 614 , when Persian armies overtook Judea and reduced Jerusalem to rubble again .",brought,they,actor
103,"Still reeling from the effects of the Persian devastation , Jerusalem was conquered in 638 by the forces of Islam .",conquered,Jerusalem,theme
104,"Still reeling from the effects of the Persian devastation , Jerusalem was conquered in 638 by the forces of Islam .",conquered,forces,conqueror
105,"The Temple Mount was identified in Islamic tradition as `` the farthest spot '' ( in Arabic , el-aksa ) , the site to which the Prophet Muhammad was transported in one night from Mecca on a winged horse , as described in the 17th chapter of the Koran .",transported,Prophet,theme
106,"The Temple Mount was identified in Islamic tradition as `` the farthest spot '' ( in Arabic , el-aksa ) , the site to which the Prophet Muhammad was transported in one night from Mecca on a winged horse , as described in the 17th chapter of the Koran .",transported,Mecca,source
107,"The Temple Mount was identified in Islamic tradition as `` the farthest spot '' ( in Arabic , el-aksa ) , the site to which the Prophet Muhammad was transported in one night from Mecca on a winged horse , as described in the 17th chapter of the Koran .",transported,horse,constant_location
108,"The Temple Mount was identified in Islamic tradition as `` the farthest spot '' ( in Arabic , el-aksa ) , the site to which the Prophet Muhammad was transported in one night from Mecca on a winged horse , as described in the 17th chapter of the Koran .",transported,site,goal
109,From here the Prophet ascended to the heavens and was permitted to glimpse paradise .,ascended,Prophet,theme
110,From here the Prophet ascended to the heavens and was permitted to glimpse paradise .,ascended,heavens,goal
111,"In 1099 , under their leaders Godfrey de Bouillon and Tancred , the Crusaders captured the Holy City for Christendom by slaughtering both Muslims and Jews .",slaughtering,Crusaders,killer
112,"In 1099 , under their leaders Godfrey de Bouillon and Tancred , the Crusaders captured the Holy City for Christendom by slaughtering both Muslims and Jews .",slaughtering,Muslims,victim
113,"They built many impressive churches during the term of the first Latin Kingdom of Jerusalem , but in 1187 they were driven out by Muslim forces under the great warrior Saladin .",built,They,agent
114,"They built many impressive churches during the term of the first Latin Kingdom of Jerusalem , but in 1187 they were driven out by Muslim forces under the great warrior Saladin .",built,churches,created_entity
115,"They built many impressive churches during the term of the first Latin Kingdom of Jerusalem , but in 1187 they were driven out by Muslim forces under the great warrior Saladin .",driven,they,theme
116,"They built many impressive churches during the term of the first Latin Kingdom of Jerusalem , but in 1187 they were driven out by Muslim forces under the great warrior Saladin .",driven,Muslim,agent
117,"During the Sixth Crusade ( 1228 - 1229 ) , the Holy Roman Emperor Frederick II managed to secure Jerusalem for the Christians by negotiation .",secure,Jerusalem,theme
118,"During the Sixth Crusade ( 1228 - 1229 ) , the Holy Roman Emperor Frederick II managed to secure Jerusalem for the Christians by negotiation .",secure,negotiation,means
119,"After they lost Jerusalem , a Mongol invasion swept through , and in 1244 the Mameluke dynasty of Egypt took control , ruling Jerusalem for the next 250 years .",ruling,Jerusalem,governed
120,"After they lost Jerusalem , a Mongol invasion swept through , and in 1244 the Mameluke dynasty of Egypt took control , ruling Jerusalem for the next 250 years .",ruling,years,duration
121,"Jerusalem fell to the Ottomans in 1517 , remaining under their control for 400 years .",remaining,Jerusalem,entity
122,"Jerusalem fell to the Ottomans in 1517 , remaining under their control for 400 years .",remaining,control,state
123,"Jerusalem fell to the Ottomans in 1517 , remaining under their control for 400 years .",remaining,years,duration
124,"But when Suleiman died , his empire , including Jerusalem , began a long period of decline .",including,empire,total
125,"But when Suleiman died , his empire , including Jerusalem , began a long period of decline .",including,Jerusalem,part
126,"The Holy City remained a backwater until the 19th century , when renewed interest among Christian pilgrims made it the destination of thousands of travelers each year .",remained,Holy,entity
127,"The Holy City remained a backwater until the 19th century , when renewed interest among Christian pilgrims made it the destination of thousands of travelers each year .",remained,backwater,state
128,"The Holy City remained a backwater until the 19th century , when renewed interest among Christian pilgrims made it the destination of thousands of travelers each year .",remained,century,time
129,"At the same time , many Jews sought religious freedom and fulfillment by moving to Palestine ( as the Holy Land was traditionally called ) and especially to Jerusalem .",called,Palestine,name
130,"At the same time , many Jews sought religious freedom and fulfillment by moving to Palestine ( as the Holy Land was traditionally called ) and especially to Jerusalem .",called,Holy,entity
131,"In the 1890s , Theodor Herzl ( 1860 - 1904 ) worked to organize a movement , Zionism , to create a Jewish state .",create,movement,cause
132,"In the 1890s , Theodor Herzl ( 1860 - 1904 ) worked to organize a movement , Zionism , to create a Jewish state .",create,state,effect
133,"Chaim Weizmann ( 1874 - 1952 ) , a scientist born in Russia but later a British subject , did much to put Herzl 's hopes into practice .",born,scientist,child
134,"Chaim Weizmann ( 1874 - 1952 ) , a scientist born in Russia but later a British subject , did much to put Herzl 's hopes into practice .",born,Russia,place
135,"But lacking the means to enforce its decision , the United Nations was powerless to halt the fighting that erupted as the British withdrew their troops in 1948 .",enforce,decision,rule
136,"But lacking the means to enforce its decision , the United Nations was powerless to halt the fighting that erupted as the British withdrew their troops in 1948 .",enforce,United,agent
137,"West Jerusalem , separated from the rest of the new Jewish nation , held out under siege for several months until Israeli forces secured a land corridor connecting the city to the coastal areas .",connecting,land,connector
138,"West Jerusalem , separated from the rest of the new Jewish nation , held out under siege for several months until Israeli forces secured a land corridor connecting the city to the coastal areas .",connecting,city,item
139,"West Jerusalem , separated from the rest of the new Jewish nation , held out under siege for several months until Israeli forces secured a land corridor connecting the city to the coastal areas .",connecting,areas,goal
140,"Today , as always , Jerusalem is a city of controversies : religious Jews in conflict with secular Jews ; Palestinians calling for independence ; many residents protesting a wave of high - rise development that many claim will turn the Holy City into a holy megalopolis .",turn,Holy,entity
141,"Today , as always , Jerusalem is a city of controversies : religious Jews in conflict with secular Jews ; Palestinians calling for independence ; many residents protesting a wave of high - rise development that many claim will turn the Holy City into a holy megalopolis .",turn,megalopolis,final_category
142,But the ideas and mystique that have always made this an extraordinarily special place rise above the ebbing and flowing concerns of present - day Jerusalem as it continues to tug at the world 's attention into the new millennium .,tug,it,agent
143,But the ideas and mystique that have always made this an extraordinarily special place rise above the ebbing and flowing concerns of present - day Jerusalem as it continues to tug at the world 's attention into the new millennium .,tug,world,entity
144,But the ideas and mystique that have always made this an extraordinarily special place rise above the ebbing and flowing concerns of present - day Jerusalem as it continues to tug at the world 's attention into the new millennium .,tug,millennium,time
145,"Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .",reach,vessels,theme
146,"Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .",reach,islands,goal
147,"Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .",pushed,them,cognizer
148,"Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .",pushed,curiosity,situation
149,"Around 7000 b.c. , the Phoenicians set out from what is now Iran to explore their surroundings .",set,b.c,time
150,"Around 7000 b.c. , the Phoenicians set out from what is now Iran to explore their surroundings .",set,Iran,source
151,"Around 7000 b.c. , the Phoenicians set out from what is now Iran to explore their surroundings .",explore,surroundings,ground
152,"Around 7000 b.c. , the Phoenicians set out from what is now Iran to explore their surroundings .",explore,b.c,time
153,"They eventually reached the islands , and founded colonies on the islands in the northernmost part of the Aegean Sea .",reached,They,theme
154,"They eventually reached the islands , and founded colonies on the islands in the northernmost part of the Aegean Sea .",reached,islands,goal
155,"They eventually reached the islands , and founded colonies on the islands in the northernmost part of the Aegean Sea .",founded,They,creator
156,"They eventually reached the islands , and founded colonies on the islands in the northernmost part of the Aegean Sea .",founded,colonies,created_entity
157,"The basic elements of life in the Aegean began to come together as early as 5000 b.c. , and were already in place by the late Bronze Age ( c. 2700 b.c. ) .",come,elements,parts
158,"The basic elements of life in the Aegean began to come together as early as 5000 b.c. , and were already in place by the late Bronze Age ( c. 2700 b.c. ) .",come,Aegean,place
159,"The basic elements of life in the Aegean began to come together as early as 5000 b.c. , and were already in place by the late Bronze Age ( c. 2700 b.c. ) .",come,b.c,time
160,"The major changes were not to daily tasks and routines , but to the political power base , which changed regularly and not necessarily peacefully throughout the ages .",changed,power,entity
161,"The major changes were not to daily tasks and routines , but to the political power base , which changed regularly and not necessarily peacefully throughout the ages .",changed,ages,time
162,"At around 3500 b.c. , a sophisticated culture evolved in the Cyclades islands .",evolved,Cyclades,place
163,"At around 3500 b.c. , a sophisticated culture evolved in the Cyclades islands .",evolved,culture,entity
164,"At around 3500 b.c. , a sophisticated culture evolved in the Cyclades islands .",evolved,b.c,time
165,"You will find original examples in the archaeological museums throughout the Cyclades , although one of the earliest examples is in the museum on Paros .",find,You,cognizer
166,"You will find original examples in the archaeological museums throughout the Cyclades , although one of the earliest examples is in the museum on Paros .",find,examples,phenomenon
167,"The people farmed and fished ; on the dawning of the Bronze Age in 2700 b.c. , they began to work with metals .",began,they,agent
168,"The people farmed and fished ; on the dawning of the Bronze Age in 2700 b.c. , they began to work with metals .",began,metals,activity
169,"The Cycladic culture was influenced by societies in the east , importing the pottery wheel from Mesopotamia .",influenced,culture,cognizer
170,"The Cycladic culture was influenced by societies in the east , importing the pottery wheel from Mesopotamia .",influenced,societies,entity
171,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the region by trade and diplomacy .",developed,Minoan,entity
172,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the region by trade and diplomacy .",developed,b.c,time
173,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the region by trade and diplomacy .",developed,Crete,place
174,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the region by trade and diplomacy .",spreading,influence,theme
175,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the region by trade and diplomacy .",spreading,region,goal
176,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the region by trade and diplomacy .",spreading,trade,means
177,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the region by trade and diplomacy .",spreading,Minoan,agent
178,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the region by trade and diplomacy .",spreading,Farther,place
179,"Farther south in Crete , the Minoan culture developed after 2000 b.c. into the most significant of its age , spreading its influence throughout the region by trade and diplomacy .",spreading,Crete,source
180,"Around 1500 b.c. , a massive volcanic eruption at Santorini destroyed not only Akrotiri -- under feet of ash and pumice -- but the whole Minoan civilization .",destroyed,b.c,time
181,"Around 1500 b.c. , a massive volcanic eruption at Santorini destroyed not only Akrotiri -- under feet of ash and pumice -- but the whole Minoan civilization .",destroyed,Akrotiri,patient
182,"Massive tidal waves swept over Crete , and other parts of the Mediterranean , smashing buildings and drowning many thousands of people .",drowning,tidal,cause
183,"Massive tidal waves swept over Crete , and other parts of the Mediterranean , smashing buildings and drowning many thousands of people .",drowning,thousands,victim
184,"They held sway over islands off the northern Greek coast , but the Phoenicians kept control of the main sea routes ; south of the area , trade continued as usual .",continued,south,place
185,"They held sway over islands off the northern Greek coast , but the Phoenicians kept control of the main sea routes ; south of the area , trade continued as usual .",continued,trade,event
186,"At the same time , city-states began to grow in influence on the southern Greek mainland .",began,city-states,agent
187,"At the same time , city-states began to grow in influence on the southern Greek mainland .",began,influence,activity
188,"At the same time , city-states began to grow in influence on the southern Greek mainland .",began,time,time
189,"At the same time , city-states began to grow in influence on the southern Greek mainland .",grow,city-states,item
190,"At the same time , city-states began to grow in influence on the southern Greek mainland .",grow,influence,attribute
191,"Homer wrote his epic works on Chios ; and lyrical poetry was much admired , particularly the work of the poets Archilochos on Paros and Sappho on Lesvos .",wrote,Homer,author
192,"Homer wrote his epic works on Chios ; and lyrical poetry was much admired , particularly the work of the poets Archilochos on Paros and Sappho on Lesvos .",wrote,epic,text
193,"Homer wrote his epic works on Chios ; and lyrical poetry was much admired , particularly the work of the poets Archilochos on Paros and Sappho on Lesvos .",wrote,Chios,place
194,"Archaeology shows that , during this time , societies lived mainly in coastal trading towns with little settlement inland .",lived,societies,resident
195,"Archaeology shows that , during this time , societies lived mainly in coastal trading towns with little settlement inland .",lived,trading,location
196,"As Athens rose in influence and power in the West , it was matched in the East by the rise of the Persian Empire .",matched,it,profiled_item
197,"As Athens rose in influence and power in the West , it was matched in the East by the rise of the Persian Empire .",matched,East,place
198,"In 490 b.c. , they captured sacred Delos and razed the settlements on Naxos .",razed,b.c,time
199,"In 490 b.c. , they captured sacred Delos and razed the settlements on Naxos .",razed,they,destroyer
200,"In 490 b.c. , they captured sacred Delos and razed the settlements on Naxos .",razed,settlements,patient
201,"In 490 b.c. , they captured sacred Delos and razed the settlements on Naxos .",captured,b.c,time
202,"In 490 b.c. , they captured sacred Delos and razed the settlements on Naxos .",captured,they,conqueror
203,"In 490 b.c. , they captured sacred Delos and razed the settlements on Naxos .",captured,Delos,theme
204,The two superpowers finally clashed at the epic battles of Marathon and Salamis in 480 b.c. .,clashed,superpowers,sides
205,The two superpowers finally clashed at the epic battles of Marathon and Salamis in 480 b.c. .,clashed,b.c,time
206,"The Persians were defeated , and Athens duly punished the islands that had turned against it .",turned,islands,entity
207,"The Persians were defeated , and Athens duly punished the islands that had turned against it .",turned,it,final_quality
