,Unnamed: 0,sentence,word,role,index,rel,head_id,head_text
86,116,"В выпуске с участием Татьяны Лазаревой Толстая заметила, что «Школа злословия» уже умерла и ведет «потустороннее» существование, а потому, в отличие от других, «живых» проектов, может длиться сколь угодно долго.",школа,agent,9.0,nsubj,15,умерла
89,119,"Этот настрой распространился не только на политическую сферу, но и на все остальные, включая искусство, прекрасное и безобразное, актуальное и старомодное.",настрой,patient,1.0,nsubj,2,распространился
90,120,"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",они,agent,1.0,nsubj,11,нужен
91,121,"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",гость,patient,5.0,nsubj,8,интересен
92,122,"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",гость,patient,5.0,nsubj,8,интересен
93,123,"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",они,agent,1.0,nsubj,11,нужен
98,128,"При этом, возможно, стоит напомнить, что само выражение «Школа злословия» изначально обозначало совсем не то, что мы привыкли думать.",выражение,patient,7.0,nsubj,16,обозначало
100,130,"В названии классической английской комедии Шеридана использована формула, традиционная для драматургии XVII–XVIII веков («Школа жен» Мольера и т.д.) и точнее всего ее можно перевести как «урок злым языкам».",формула,patient,7.0,nsubj:pass,6,использована
108,139,«Последнее восстание» в исполнении знаменитой российской арт-группы АЕС+Ф состоялось 12 сентября 2008 года на открытии V Сеульской международной биеннале медиаискусства.,восстание,patient,1.0,nsubj,12,состоялось
112,143,"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",художник,addressee,2.0,iobj,64,горят
118,152,"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",художник,addressee,2.0,iobj,64,горят
121,155,"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",оплот,agent,33.0,nsubj,71,сидят
126,161,"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",боевик,agent,62.0,nsubj,71,сидят
130,167,Работа «Последнее восстание» была начата в 2005 году.,работа,patient,0.0,nsubj:pass,6,начата
135,172,"Она открывает зрителю вход в виртуальный высокотехнологичный мир, где кровавая война – всего лишь игра, пытки – развлечения современных валькирий, где все против всех и единственная форма существования – беспощадный бунт.",она,agent,0.0,nsubj,1,открывает
136,173,"Она открывает зрителю вход в виртуальный высокотехнологичный мир, где кровавая война – всего лишь игра, пытки – развлечения современных валькирий, где все против всех и единственная форма существования – беспощадный бунт.",зритель,addressee,2.0,iobj,1,открывает
138,175,"Она открывает зрителю вход в виртуальный высокотехнологичный мир, где кровавая война – всего лишь игра, пытки – развлечения современных валькирий, где все против всех и единственная форма существования – беспощадный бунт.",пытка,agent,15.0,nsubj,15,игра
141,178,И этот мир deus ex machina превращается в новую реальность XXI века.,мир,patient,2.0,nsubj,6,превращается
143,182,Демиургов и идеологов «критического искусства» зовут Алексей Шульгин и Аристарх Чернышев.,алексей,agent,6.0,xcomp,7,зовут
144,183,Демиургов и идеологов «критического искусства» зовут Алексей Шульгин и Аристарх Чернышев.,шульгин,agent,7.0,flat:name,8,Алексей
145,184,Демиургов и идеологов «критического искусства» зовут Алексей Шульгин и Аристарх Чернышев.,аристарх,agent,9.0,conj,8,Алексей
146,186,"В общей сложности в выставке принимают участие 70 художников из 26 стран, включая Россию, Корею, Японию, Китай, Австралию, Францию, США, Нидерланды и Данию.",художник,agent,8.0,nsubj,5,принимают
148,188,"Продлится она 55 дней, до 5 ноября.",она,patient,1.0,nsubj,0,Продлится
151,192,"На суд зрителей представлены инновационные произведения искусства, созданные на стыке современного арта и хай-тека.",произведение,patient,5.0,nsubj:pass,3,представлены
154,196,"Директор выставки Илхо Пайк считает, что Сеульская биеннале призвана категоризировать различия между традиционным и медиаискусством.",директор,agent,0.0,nsubj,4,считает
156,198,"Директор выставки Илхо Пайк считает, что Сеульская биеннале призвана категоризировать различия между традиционным и медиаискусством.",биеннале,patient,7.0,nsubj,9,призвана
157,199,"Дэвид Лисс, популярный автор исторических детективов, впервые обратился к современности.",дэвид,agent,0.0,nsubj,9,обратился
162,205,"Главный герой романа Дэвида Лисса «Этичный убийца» (СПб., «Азбука-классика», 2008) – семнадцатилетний Лемюэль Алтик живет во Флориде с мамой и отчимом.",герой,agent,1.0,nsubj,23,живет
165,208,"После окончания школы юноша получает приглашение учиться в Колумбийском университете, но отчим вопреки обещаниям отказывается оплачивать учебу пасынка.",юноша,patient,3.0,nsubj,4,получает
166,209,"После окончания школы юноша получает приглашение учиться в Колумбийском университете, но отчим вопреки обещаниям отказывается оплачивать учебу пасынка.",отчим,agent,11.0,nsubj,15,отказывается
167,211,"Герой выбирает сетевой маркетинг, потому что единственное, что у него получается, – это торговать подпиской на многотомную энциклопедию, убалтывая будущих клиентов.",герой,agent,0.0,nsubj,1,выбирает
171,215,"Сорокадвухлетний американец Дэвид Лисс – специалист по английской истории, так что сюжеты первых опубликованных им остросюжетных романов отсылали читателя в Лондон первой четверти XVIII века.",американец,agent,1.0,nsubj,5,специалист
175,219,"Сорокадвухлетний американец Дэвид Лисс – специалист по английской истории, так что сюжеты первых опубликованных им остросюжетных романов отсылали читателя в Лондон первой четверти XVIII века.",история,theme,8.0,nmod,5,специалист
177,221,"Сорокадвухлетний американец Дэвид Лисс – специалист по английской истории, так что сюжеты первых опубликованных им остросюжетных романов отсылали читателя в Лондон первой четверти XVIII века.",четверть,time,22.0,obl,18,отсылали
178,223,Роман «Заговор бумаг» (2000) не зря был удостоен премии «Эдгар» за лучший детективный дебют: приключенческая канва опиралась на отличное знание описываемых реалий.,роман,patient,0.0,nsubj:pass,11,удостоен
181,228,"Шпаги, деньги, биржа",деньги,agent,1.0,conj,0,Шпаги
183,231,"Главный герой «Заговора бумаг», бывший профессиональный боксер, а затем специалист по улаживанию всяких малоприятных дел (в наше время его бы назвали частным сыщиком), знаток жизни лондонского «дна» Бенжамен Уивер, расследуя обстоятельства смерти собственного отца, скромного еврейского маклера, обнаруживал, что «несчастный случай» – тщательно спланированное убийство.",герой,agent,1.0,nsubj,49,обнаруживал
195,244,"Главный герой «Заговора бумаг», бывший профессиональный боксер, а затем специалист по улаживанию всяких малоприятных дел (в наше время его бы назвали частным сыщиком), знаток жизни лондонского «дна» Бенжамен Уивер, расследуя обстоятельства смерти собственного отца, скромного еврейского маклера, обнаруживал, что «несчастный случай» – тщательно спланированное убийство.",случай,patient,40.0,obj,25,назвали
197,246,"Причем нити заговора тянутся к финансовому монстру – «Компании южных морей», чьи махинации могут быть разоблачены изысканиями Уивера-старшего.",монстр,addressee,6.0,obl,3,тянутся
209,261,"«Проведя годы в архивах за чтением памфлетов, поэм, пьес, газетных статей и забытых всеми романов, я не нашел источника, который рассказал бы мне то, что я хотел знать о новых тогда финансовых инструментах, – рассказывал Дэвид Лисс в одном из интервью. – Поэтому я и написал этот роман».",я,agent,15.0,nsubj,22,нашел
210,262,"«Проведя годы в архивах за чтением памфлетов, поэм, пьес, газетных статей и забытых всеми романов, я не нашел источника, который рассказал бы мне то, что я хотел знать о новых тогда финансовых инструментах, – рассказывал Дэвид Лисс в одном из интервью. – Поэтому я и написал этот роман».",источник,goal,18.0,obj,22,нашел
211,263,"«Проведя годы в архивах за чтением памфлетов, поэм, пьес, газетных статей и забытых всеми романов, я не нашел источника, который рассказал бы мне то, что я хотел знать о новых тогда финансовых инструментах, – рассказывал Дэвид Лисс в одном из интервью. – Поэтому я и написал этот роман».",я,addressee,15.0,nsubj,22,нашел
212,264,"«Проведя годы в архивах за чтением памфлетов, поэм, пьес, газетных статей и забытых всеми романов, я не нашел источника, который рассказал бы мне то, что я хотел знать о новых тогда финансовых инструментах, – рассказывал Дэвид Лисс в одном из интервью. – Поэтому я и написал этот роман».",я,agent,15.0,nsubj,22,нашел
215,267,"«Проведя годы в архивах за чтением памфлетов, поэм, пьес, газетных статей и забытых всеми романов, я не нашел источника, который рассказал бы мне то, что я хотел знать о новых тогда финансовых инструментах, – рассказывал Дэвид Лисс в одном из интервью. – Поэтому я и написал этот роман».",я,agent,15.0,nsubj,22,нашел
216,268,"Читателя подкупало умение автора с минимальной степенью занудства рассказать о том, как люди вели бизнес 300 лет назад и чем, собственно, финансовая жизнь той далекой поры отличалась от нынешней (сходства было больше, чем различий, несмотря на разницу терминологий).",умение,agent,2.0,nsubj,1,подкупало
222,275,В романе «Ярмарка коррупции» жертвой заговора становился уже сам Уивер-младший.,заговор,theme,5.0,nmod,6,жертвой
223,279,"Приговоренный к смерти за преступление, которого не совершал, герой бежал из тюрьмы, чтобы разобраться, кто и почему его подставил.",герой,agent,8.0,nsubj,11,бежал
224,280,"Приговоренный к смерти за преступление, которого не совершал, герой бежал из тюрьмы, чтобы разобраться, кто и почему его подставил.",тюрьма,place,11.0,obl,11,бежал
226,282,"И снова читателям было явлено хитросплетение уголовно-финансовых (а теперь еще и политических – грядут выборы!) интриг; там, где речь идет о Большом Бизнесе и Большой Политике, джентльменством не пахнет.",читатель,agent,2.0,iobj,4,явлено
234,292,"Он никогда не будет своим ни для кого, и это отсутствие «почвы» не только делает героя уязвимым, но и одновременно дает ему множество дополнительных степеней свободы.",отсутствие,patient,10.0,conj,17,делает
236,294,"Он никогда не будет своим ни для кого, и это отсутствие «почвы» не только делает героя уязвимым, но и одновременно дает ему множество дополнительных степеней свободы.",он,benefactive,0.0,nsubj,17,делает
238,297,На еврейской тематике автор делал упор в третьем (и наименее детективном) своем романе «Торговец кофе».,автор,agent,3.0,nsubj,4,делал
239,298,"Действие «Торговца кофе» происходит во времена еще более отдаленные – в XVII веке, а герой, беглец из Лиссабона в Амстердам Мигель Лиенсо, приходился не рожденному пока Бену Уиверу дедом.",действие,patient,0.0,nsubj,5,происходит
244,303,"В отличие от Португалии Нидерланды – веротерпимая страна, но у героя непростые отношения с португало-еврейской общиной: обойтись без конфликта с соплеменниками он не может (бизнес требует межконфессиональной широты), но и ссориться с ними нельзя.",португалия,patient,3.0,obl,25,может
248,307,"В отличие от Португалии Нидерланды – веротерпимая страна, но у героя непростые отношения с португало-еврейской общиной: обойтись без конфликта с соплеменниками он не может (бизнес требует межконфессиональной широты), но и ссориться с ними нельзя.",он,agent,21.0,nsubj,25,может
255,314,"«Этичный убийца» – первый роман Дэвида Лисса, где действие разворачивается в родных для автора Соединенных Штатах, притом в неотдаленном прошлом: во времена президентства Рональда Рейгана.",дэвид,posessor,5.0,nmod,6,роман
261,322,"Едва уговорив одну странную парочку выписать чек, герой становится свидетелем хладнокровного убийства этих покупателей.",герой,agent,7.0,nsubj,9,становится
262,325,"Впрочем, вопреки традициям жанра, киллер не торопится убирать случайного свидетеля.",киллер,agent,4.0,nsubj,8,торопится
265,328,"Сближают прежних героев с новым лишь два обстоятельства: во-первых, юноша – тоже еврей (что особой роли для развития сюжета здесь не играет), а во-вторых, он тоже становится объектом манипуляций своего нового опасного знакомца, причем смысл этих манипуляций долгое время остается загадочным не только для героя, но и читателя.",обстоятельство,agent,7.0,nsubj,46,остается
266,329,"Сближают прежних героев с новым лишь два обстоятельства: во-первых, юноша – тоже еврей (что особой роли для развития сюжета здесь не играет), а во-вторых, он тоже становится объектом манипуляций своего нового опасного знакомца, причем смысл этих манипуляций долгое время остается загадочным не только для героя, но и читателя.",юноша,agent,9.0,nsubj,46,остается
267,330,"Сближают прежних героев с новым лишь два обстоятельства: во-первых, юноша – тоже еврей (что особой роли для развития сюжета здесь не играет), а во-вторых, он тоже становится объектом манипуляций своего нового опасного знакомца, причем смысл этих манипуляций долгое время остается загадочным не только для героя, но и читателя.",он,patient,24.0,nsubj,32,становится
270,333,"Сближают прежних героев с новым лишь два обстоятельства: во-первых, юноша – тоже еврей (что особой роли для развития сюжета здесь не играет), а во-вторых, он тоже становится объектом манипуляций своего нового опасного знакомца, причем смысл этих манипуляций долгое время остается загадочным не только для героя, но и читателя.",манипуляция,theme,28.0,nmod,33,объектом
273,337,"«Этот убийца... он такой мягкий и дружелюбный, такой хитрый и находчивый – мне показалось, лучшего заступника мне не найти», – размышляет семнадцатилетний персонаж.",заступник,patient,15.0,obj,22,найти
276,341,"Надо признать, обращение к современности выбило из рук писателя самый главный его козырь – знание скрупулезно описываемых реалий прошлого.",обращение,patient,2.0,nsubj,6,выбило
280,346,"Поселив героев в Америке начала 80-х, Лисс присоединился к тысячам своих коллег, сочиняющих триллеры из жизни драгдилеров.",лисс,agent,6.0,nsubj,8,присоединился
281,347,"Поселив героев в Америке начала 80-х, Лисс присоединился к тысячам своих коллег, сочиняющих триллеры из жизни драгдилеров.",тысяча,addressee,9.0,obl,8,присоединился
283,349,"Ибо персонажи, убитые в самом начале книги, – участники недлинной цепочки по производству и распространению синтетической дряни под названием крэнк.",персонаж,patient,1.0,nsubj,10,участники
287,353,"Убитые украли некоторую сумму хозяйских денег; среди командиров преступного бизнеса – магнат-педофил и шеф полиции крохотного городка, состоящего из сотен трейлеров.",убитый,agent,0.0,nsubj,1,украли
290,357,"Автор, правда, старается выйти за пределы схемы.",автор,agent,0.0,nsubj,4,старается
291,359,"Для этого он строит завязку сюжета на труднообъяснимом совпадении: киллер (он называет себя ассасином) Милфорд Кин убивает драгдилеров вовсе не за то, что те драгдилеры и украли деньги босса (это сторона жизни жертв Кина не волнует), а за то, что жертвы подрабатывали кражей домашних животных и продажей их для медицинских опытов.",он,agent,2.0,nsubj,3,строит
292,360,"Для этого он строит завязку сюжета на труднообъяснимом совпадении: киллер (он называет себя ассасином) Милфорд Кин убивает драгдилеров вовсе не за то, что те драгдилеры и украли деньги босса (это сторона жизни жертв Кина не волнует), а за то, что жертвы подрабатывали кражей домашних животных и продажей их для медицинских опытов.",киллер,agent,9.0,nsubj,19,убивает
293,361,"Для этого он строит завязку сюжета на труднообъяснимом совпадении: киллер (он называет себя ассасином) Милфорд Кин убивает драгдилеров вовсе не за то, что те драгдилеры и украли деньги босса (это сторона жизни жертв Кина не волнует), а за то, что жертвы подрабатывали кражей домашних животных и продажей их для медицинских опытов.",драгдилер,agent,17.0,obj,19,убивает
298,366,"Для этого он строит завязку сюжета на труднообъяснимом совпадении: киллер (он называет себя ассасином) Милфорд Кин убивает драгдилеров вовсе не за то, что те драгдилеры и украли деньги босса (это сторона жизни жертв Кина не волнует), а за то, что жертвы подрабатывали кражей домашних животных и продажей их для медицинских опытов.",они,benefactive,47.0,nsubj,3,строит
300,371,"Автор, похоже, решил, будто именно эта фигура придаст сюжету своеобразие.",автор,agent,0.0,nsubj,4,решил
301,372,"Автор, похоже, решил, будто именно эта фигура придаст сюжету своеобразие.",фигура,patient,6.0,nsubj,10,придаст
302,373,"Автор, похоже, решил, будто именно эта фигура придаст сюжету своеобразие.",сюжет,addressee,8.0,iobj,10,придаст
303,374,"Поначалу читатель воображает, что все разговоры о правах животных для ассасина – легкая отвлекающая болтовня, разновидность циничного стеба (вроде бесед тарантиновских персонажей о песнях Мадонны или бигмаках по-французски).",читатель,experiencer,1.0,nsubj,2,воображает
306,377,"Поначалу читатель воображает, что все разговоры о правах животных для ассасина – легкая отвлекающая болтовня, разновидность циничного стеба (вроде бесед тарантиновских персонажей о песнях Мадонны или бигмаках по-французски).",беседа,patient,19.0,nmod,15,болтовня
308,379,"Автор подходит к делу серьезно, без намека на иронию: монологи Милфорда становятся все более долгими и проникновенными, а софистика – все более утомительной.",автор,agent,0.0,nsubj,1,подходит
311,385,"Сюжет, поначалу динамичный, зависает, а загадочность убийцы обретает простое (с элементами явной патологии) объяснение: мол, в детстве дурные люди украли его кота, и теперь дело всей жизни Милфорда – борьба с угнетателями братцев наших меньших.",сюжет,patient,0.0,nsubj,18,объяснение
316,390,"Борьба ведется методами убеждения, принуждения и просто отстрела самых закоренелых.",борьба,patient,0.0,nsubj:pass,1,ведется
322,397,Отечественные кинематографисты не оставляют попыток снимать романтическое кино.,кинематографист,agent,1.0,nsubj,3,оставляют
