sentence,role,idx_target,raw_target,idx_head,raw_head
"В момент, когда все остальные программы общественно-политической (по характеру) и либерально-интеллигентской направленности (по настрою) ушли одна за другой в небытие, «Школа злословия» стала как бы заповедником «свободы слова».",agent,30-39,программы,137-141,ушли
"В момент, когда все остальные программы общественно-политической (по характеру) и либерально-интеллигентской направленности (по настрою) ушли одна за другой в небытие, «Школа злословия» стала как бы заповедником «свободы слова».",theme,109-123,направленности,186-191,стала
"Это произошло году в 2005-м, когда на смену героям, кочующим из одного ток-шоу в другое и по дороге заглядывающим в «Школу злословия», к Татьяне Никитичне и Авдотье Андреевне стал приходить совсем другой народ: политологи, публицисты, причем практически исключительно либеральных убеждений.",agent,204-209,народ,175-179,стал
Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,agent,0-9,Программа,10-16,давала
Программа давала гостям возможность высказаться в эфире общенационального канала – и такая возможность для многих гостей того периода в «Школе злословия» была едва ли не единственной.,benefactive,17-23,гостям,10-16,давала
Однако в минувшем сезоне задвинутый еще глубже в ночной эфир проект снова сделал любопытный тематический крен.,agent,61-67,проект,74-80,сделал
"Артисты, представители юмористического цеха и т.п.",agent,9-22,представители,0-7,Артисты
"К примеру, коллега Татьяны Толстой по шоу Первого канала «Минута славы», резидент «Комеди клаба» Гарик Мартиросян.",posessor,19-26,Татьяны,11-18,коллега
"К примеру, коллега Татьяны Толстой по шоу Первого канала «Минута славы», резидент «Комеди клаба» Гарик Мартиросян.",place,38-41,шоу,11-18,коллега
Цикл программ был посвящен крупным фигурам Большого театра.,patient,0-4,Цикл,18-26,посвящен
Цикл программ был посвящен крупным фигурам Большого театра.,addressee,35-42,фигурам,18-26,посвящен
"Правда, это как раз тот случай, когда интересы ведущих совпадают с тем, чего ждет от программы зритель: встречи с дирижером Александром Ведерниковым, балетмейстером Алексеем Ратманским и басом Владимиром Маториным оказались едва ли не самыми увлекательными за весь минувший сезон «Школы…».",agent,95-102,зритель,214-223,оказались
"Разговор шел вокруг того, можно ли выучить древнеегипетский за три года.",agent,0-8,Разговор,9-12,шел
"Татьяна Толстая, будучи сама филологом-«классиком», утверждала, что нельзя, гость – что можно.",agent,0-7,Татьяна,52-62,утверждала
"Татьяна Толстая, будучи сама филологом-«классиком», утверждала, что нельзя, гость – что можно.",agent,76-81,гость,52-62,утверждала
"От египтолога хотелось бы услышать что-то если уж не про Египет, то хотя бы про нашу жизнь через призму его знаний об истории, или о современных научных методах познания прошлого.",patient,3-13,египтолога,14-22,хотелось
"От египтолога хотелось бы услышать что-то если уж не про Египет, то хотя бы про нашу жизнь через призму его знаний об истории, или о современных научных методах познания прошлого.",posessor,108-114,знаний,26-34,услышать
В наказание Татьяна и Авдотья устроили молодому специалисту настоящее «мочилово».,agent,12-19,Татьяна,30-38,устроили
В наказание Татьяна и Авдотья устроили молодому специалисту настоящее «мочилово».,addressee,48-59,специалисту,30-38,устроили
"В выпуске с участием Татьяны Лазаревой Толстая заметила, что «Школа злословия» уже умерла и ведет «потустороннее» существование, а потому, в отличие от других, «живых» проектов, может длиться сколь угодно долго.",agent,62-67,Школа,83-89,умерла
"Этот настрой распространился не только на политическую сферу, но и на все остальные, включая искусство, прекрасное и безобразное, актуальное и старомодное.",patient,5-12,настрой,13-28,распространился
"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",agent,9-11,им,50-55,нужен
"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",patient,27-32,гость,36-45,интересен
"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",patient,27-32,гость,36-45,интересен
"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",agent,9-11,им,50-55,нужен
"При этом, возможно, стоит напомнить, что само выражение «Школа злословия» изначально обозначало совсем не то, что мы привыкли думать.",patient,46-55,выражение,85-95,обозначало
"В названии классической английской комедии Шеридана использована формула, традиционная для драматургии XVII–XVIII веков («Школа жен» Мольера и т.д.) и точнее всего ее можно перевести как «урок злым языкам».",patient,65-72,формула,52-64,использована
«Последнее восстание» в исполнении знаменитой российской арт-группы АЕС+Ф состоялось 12 сентября 2008 года на открытии V Сеульской международной биеннале медиаискусства.,patient,11-20,восстание,74-84,состоялось
"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",addressee,20-30,художникам,215-221,принес
"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",agent,277-282,оплот,329-339,облачается
"Мировую известность художникам Татьяне Арзамасовой, Льву Евзовичу и Евгению Святскому, по начальным буквам фамилий которых и назван коллектив (позже к художникам присоединился выдающийся фотограф Владимир Фридкес), принес скандальный «Исламский проект», в котором 100-метровый оплот американской независимости – статуя Свободы – облачается в паранджу, католический храм Саграда Фамилия вонзает в небо исламские полумесяцы, в Нью-Йорке горят небоскребы, а на Красной площади сидят арабские боевики с «калашами» наперевес.",agent,489-496,боевики,474-479,сидят
Работа «Последнее восстание» была начата в 2005 году.,patient,0-6,Работа,34-40,начата
"Она открывает зрителю вход в виртуальный высокотехнологичный мир, где кровавая война – всего лишь игра, пытки – развлечения современных валькирий, где все против всех и единственная форма существования – беспощадный бунт.",agent,0-3,Она,4-13,открывает
"Она открывает зрителю вход в виртуальный высокотехнологичный мир, где кровавая война – всего лишь игра, пытки – развлечения современных валькирий, где все против всех и единственная форма существования – беспощадный бунт.",addressee,14-21,зрителю,4-13,открывает
"Она открывает зрителю вход в виртуальный высокотехнологичный мир, где кровавая война – всего лишь игра, пытки – развлечения современных валькирий, где все против всех и единственная форма существования – беспощадный бунт.",agent,104-109,пытки,112-123,развлечения
И этот мир deus ex machina превращается в новую реальность XXI века.,patient,7-10,мир,27-39,превращается
Демиургов и идеологов «критического искусства» зовут Алексей Шульгин и Аристарх Чернышев.,agent,53-60,Алексей,47-52,зовут
Демиургов и идеологов «критического искусства» зовут Алексей Шульгин и Аристарх Чернышев.,agent,61-68,Шульгин,53-60,Алексей
Демиургов и идеологов «критического искусства» зовут Алексей Шульгин и Аристарх Чернышев.,agent,71-79,Аристарх,53-60,Алексей
"В общей сложности в выставке принимают участие 70 художников из 26 стран, включая Россию, Корею, Японию, Китай, Австралию, Францию, США, Нидерланды и Данию.",agent,50-60,художников,29-38,принимают
"Продлится она 55 дней, до 5 ноября.",patient,10-13,она,0-9,Продлится
"На суд зрителей представлены инновационные произведения искусства, созданные на стыке современного арта и хай-тека.",patient,43-55,произведения,16-28,представлены
"Директор выставки Илхо Пайк считает, что Сеульская биеннале призвана категоризировать различия между традиционным и медиаискусством.",agent,0-8,Директор,28-35,считает
"Дэвид Лисс, популярный автор исторических детективов, впервые обратился к современности.",agent,0-5,Дэвид,62-71,обратился
"Главный герой романа Дэвида Лисса «Этичный убийца» (СПб., «Азбука-классика», 2008) – семнадцатилетний Лемюэль Алтик живет во Флориде с мамой и отчимом.",agent,8-13,герой,116-121,живет
"После окончания школы юноша получает приглашение учиться в Колумбийском университете, но отчим вопреки обещаниям отказывается оплачивать учебу пасынка.",patient,22-27,юноша,28-36,получает
"После окончания школы юноша получает приглашение учиться в Колумбийском университете, но отчим вопреки обещаниям отказывается оплачивать учебу пасынка.",agent,89-94,отчим,113-125,отказывается
"Герой выбирает сетевой маркетинг, потому что единственное, что у него получается, – это торговать подпиской на многотомную энциклопедию, убалтывая будущих клиентов.",agent,0-5,Герой,6-14,выбирает
"Сорокадвухлетний американец Дэвид Лисс – специалист по английской истории, так что сюжеты первых опубликованных им остросюжетных романов отсылали читателя в Лондон первой четверти XVIII века.",agent,17-27,американец,41-51,специалист
"Сорокадвухлетний американец Дэвид Лисс – специалист по английской истории, так что сюжеты первых опубликованных им остросюжетных романов отсылали читателя в Лондон первой четверти XVIII века.",theme,66-73,истории,41-51,специалист
"Сорокадвухлетний американец Дэвид Лисс – специалист по английской истории, так что сюжеты первых опубликованных им остросюжетных романов отсылали читателя в Лондон первой четверти XVIII века.",time,171-179,четверти,137-145,отсылали
Роман «Заговор бумаг» (2000) не зря был удостоен премии «Эдгар» за лучший детективный дебют: приключенческая канва опиралась на отличное знание описываемых реалий.,patient,0-5,Роман,40-48,удостоен
"Главный герой «Заговора бумаг», бывший профессиональный боксер, а затем специалист по улаживанию всяких малоприятных дел (в наше время его бы назвали частным сыщиком), знаток жизни лондонского «дна» Бенжамен Уивер, расследуя обстоятельства смерти собственного отца, скромного еврейского маклера, обнаруживал, что «несчастный случай» – тщательно спланированное убийство.",agent,8-13,герой,296-307,обнаруживал
"Главный герой «Заговора бумаг», бывший профессиональный боксер, а затем специалист по улаживанию всяких малоприятных дел (в наше время его бы назвали частным сыщиком), знаток жизни лондонского «дна» Бенжамен Уивер, расследуя обстоятельства смерти собственного отца, скромного еврейского маклера, обнаруживал, что «несчастный случай» – тщательно спланированное убийство.",patient,325-331,случай,142-149,назвали
"Причем нити заговора тянутся к финансовому монстру – «Компании южных морей», чьи махинации могут быть разоблачены изысканиями Уивера-старшего.",addressee,43-50,монстру,21-28,тянутся
"«Проведя годы в архивах за чтением памфлетов, поэм, пьес, газетных статей и забытых всеми романов, я не нашел источника, который рассказал бы мне то, что я хотел знать о новых тогда финансовых инструментах, – рассказывал Дэвид Лисс в одном из интервью. – Поэтому я и написал этот роман».",agent,99-100,я,104-109,нашел
"«Проведя годы в архивах за чтением памфлетов, поэм, пьес, газетных статей и забытых всеми романов, я не нашел источника, который рассказал бы мне то, что я хотел знать о новых тогда финансовых инструментах, – рассказывал Дэвид Лисс в одном из интервью. – Поэтому я и написал этот роман».",goal,110-119,источника,104-109,нашел
"«Проведя годы в архивах за чтением памфлетов, поэм, пьес, газетных статей и забытых всеми романов, я не нашел источника, который рассказал бы мне то, что я хотел знать о новых тогда финансовых инструментах, – рассказывал Дэвид Лисс в одном из интервью. – Поэтому я и написал этот роман».",addressee,99-100,я,104-109,нашел
"«Проведя годы в архивах за чтением памфлетов, поэм, пьес, газетных статей и забытых всеми романов, я не нашел источника, который рассказал бы мне то, что я хотел знать о новых тогда финансовых инструментах, – рассказывал Дэвид Лисс в одном из интервью. – Поэтому я и написал этот роман».",agent,99-100,я,104-109,нашел
"«Проведя годы в архивах за чтением памфлетов, поэм, пьес, газетных статей и забытых всеми романов, я не нашел источника, который рассказал бы мне то, что я хотел знать о новых тогда финансовых инструментах, – рассказывал Дэвид Лисс в одном из интервью. – Поэтому я и написал этот роман».",agent,99-100,я,104-109,нашел
"Читателя подкупало умение автора с минимальной степенью занудства рассказать о том, как люди вели бизнес 300 лет назад и чем, собственно, финансовая жизнь той далекой поры отличалась от нынешней (сходства было больше, чем различий, несмотря на разницу терминологий).",agent,19-25,умение,9-18,подкупало
В романе «Ярмарка коррупции» жертвой заговора становился уже сам Уивер-младший.,theme,37-45,заговора,29-36,жертвой
"Приговоренный к смерти за преступление, которого не совершал, герой бежал из тюрьмы, чтобы разобраться, кто и почему его подставил.",agent,62-67,герой,68-73,бежал
"Приговоренный к смерти за преступление, которого не совершал, герой бежал из тюрьмы, чтобы разобраться, кто и почему его подставил.",place,77-83,тюрьмы,68-73,бежал
"И снова читателям было явлено хитросплетение уголовно-финансовых (а теперь еще и политических – грядут выборы!) интриг; там, где речь идет о Большом Бизнесе и Большой Политике, джентльменством не пахнет.",agent,8-17,читателям,23-29,явлено
"Он никогда не будет своим ни для кого, и это отсутствие «почвы» не только делает героя уязвимым, но и одновременно дает ему множество дополнительных степеней свободы.",patient,45-55,отсутствие,74-80,делает
"Он никогда не будет своим ни для кого, и это отсутствие «почвы» не только делает героя уязвимым, но и одновременно дает ему множество дополнительных степеней свободы.",benefactive,0-2,Он,74-80,делает
На еврейской тематике автор делал упор в третьем (и наименее детективном) своем романе «Торговец кофе».,agent,22-27,автор,28-33,делал
"Действие «Торговца кофе» происходит во времена еще более отдаленные – в XVII веке, а герой, беглец из Лиссабона в Амстердам Мигель Лиенсо, приходился не рожденному пока Бену Уиверу дедом.",patient,0-8,Действие,25-35,происходит
"В отличие от Португалии Нидерланды – веротерпимая страна, но у героя непростые отношения с португало-еврейской общиной: обойтись без конфликта с соплеменниками он не может (бизнес требует межконфессиональной широты), но и ссориться с ними нельзя.",patient,13-23,Португалии,166-171,может
"В отличие от Португалии Нидерланды – веротерпимая страна, но у героя непростые отношения с португало-еврейской общиной: обойтись без конфликта с соплеменниками он не может (бизнес требует межконфессиональной широты), но и ссориться с ними нельзя.",agent,160-162,он,166-171,может
"«Этичный убийца» – первый роман Дэвида Лисса, где действие разворачивается в родных для автора Соединенных Штатах, притом в неотдаленном прошлом: во времена президентства Рональда Рейгана.",posessor,32-38,Дэвида,26-31,роман
"Едва уговорив одну странную парочку выписать чек, герой становится свидетелем хладнокровного убийства этих покупателей.",agent,50-55,герой,56-66,становится
"Впрочем, вопреки традициям жанра, киллер не торопится убирать случайного свидетеля.",agent,34-40,киллер,44-53,торопится
"Сближают прежних героев с новым лишь два обстоятельства: во-первых, юноша – тоже еврей (что особой роли для развития сюжета здесь не играет), а во-вторых, он тоже становится объектом манипуляций своего нового опасного знакомца, причем смысл этих манипуляций долгое время остается загадочным не только для героя, но и читателя.",agent,41-55,обстоятельства,oops,сближают
"Сближают прежних героев с новым лишь два обстоятельства: во-первых, юноша – тоже еврей (что особой роли для развития сюжета здесь не играет), а во-вторых, он тоже становится объектом манипуляций своего нового опасного знакомца, причем смысл этих манипуляций долгое время остается загадочным не только для героя, но и читателя.",agent,68-73,юноша,271-279,остается
"Сближают прежних героев с новым лишь два обстоятельства: во-первых, юноша – тоже еврей (что особой роли для развития сюжета здесь не играет), а во-вторых, он тоже становится объектом манипуляций своего нового опасного знакомца, причем смысл этих манипуляций долгое время остается загадочным не только для героя, но и читателя.",patient,155-157,он,163-173,становится
"Сближают прежних героев с новым лишь два обстоятельства: во-первых, юноша – тоже еврей (что особой роли для развития сюжета здесь не играет), а во-вторых, он тоже становится объектом манипуляций своего нового опасного знакомца, причем смысл этих манипуляций долгое время остается загадочным не только для героя, но и читателя.",theme,183-194,манипуляций,174-182,объектом
"«Этот убийца... он такой мягкий и дружелюбный, такой хитрый и находчивый – мне показалось, лучшего заступника мне не найти», – размышляет семнадцатилетний персонаж.",patient,99-109,заступника,117-122,найти
"Надо признать, обращение к современности выбило из рук писателя самый главный его козырь – знание скрупулезно описываемых реалий прошлого.",patient,15-24,обращение,41-47,выбило
"Поселив героев в Америке начала 80-х, Лисс присоединился к тысячам своих коллег, сочиняющих триллеры из жизни драгдилеров.",agent,38-42,Лисс,43-56,присоединился
"Поселив героев в Америке начала 80-х, Лисс присоединился к тысячам своих коллег, сочиняющих триллеры из жизни драгдилеров.",addressee,59-66,тысячам,43-56,присоединился
"Ибо персонажи, убитые в самом начале книги, – участники недлинной цепочки по производству и распространению синтетической дряни под названием крэнк.",patient,4-13,персонажи,46-55,участники
"Автор, правда, старается выйти за пределы схемы.",agent,0-5,Автор,15-24,старается
"Для этого он строит завязку сюжета на труднообъяснимом совпадении: киллер (он называет себя ассасином) Милфорд Кин убивает драгдилеров вовсе не за то, что те драгдилеры и украли деньги босса (это сторона жизни жертв Кина не волнует), а за то, что жертвы подрабатывали кражей домашних животных и продажей их для медицинских опытов.",agent,10-12,он,13-19,строит
"Для этого он строит завязку сюжета на труднообъяснимом совпадении: киллер (он называет себя ассасином) Милфорд Кин убивает драгдилеров вовсе не за то, что те драгдилеры и украли деньги босса (это сторона жизни жертв Кина не волнует), а за то, что жертвы подрабатывали кражей домашних животных и продажей их для медицинских опытов.",agent,67-73,киллер,115-122,убивает
"Для этого он строит завязку сюжета на труднообъяснимом совпадении: киллер (он называет себя ассасином) Милфорд Кин убивает драгдилеров вовсе не за то, что те драгдилеры и украли деньги босса (это сторона жизни жертв Кина не волнует), а за то, что жертвы подрабатывали кражей домашних животных и продажей их для медицинских опытов.",agent,123-134,драгдилеров,115-122,убивает
"Для этого он строит завязку сюжета на труднообъяснимом совпадении: киллер (он называет себя ассасином) Милфорд Кин убивает драгдилеров вовсе не за то, что те драгдилеры и украли деньги босса (это сторона жизни жертв Кина не волнует), а за то, что жертвы подрабатывали кражей домашних животных и продажей их для медицинских опытов.",benefactive,304-306,их,13-19,строит
"Автор, похоже, решил, будто именно эта фигура придаст сюжету своеобразие.",agent,0-5,Автор,15-20,решил
"Автор, похоже, решил, будто именно эта фигура придаст сюжету своеобразие.",patient,39-45,фигура,46-53,придаст
"Автор, похоже, решил, будто именно эта фигура придаст сюжету своеобразие.",addressee,54-60,сюжету,46-53,придаст
"Поначалу читатель воображает, что все разговоры о правах животных для ассасина – легкая отвлекающая болтовня, разновидность циничного стеба (вроде бесед тарантиновских персонажей о песнях Мадонны или бигмаках по-французски).",experiencer,9-17,читатель,18-28,воображает
"Поначалу читатель воображает, что все разговоры о правах животных для ассасина – легкая отвлекающая болтовня, разновидность циничного стеба (вроде бесед тарантиновских персонажей о песнях Мадонны или бигмаках по-французски).",patient,147-152,бесед,100-108,болтовня
"Автор подходит к делу серьезно, без намека на иронию: монологи Милфорда становятся все более долгими и проникновенными, а софистика – все более утомительной.",agent,0-5,Автор,6-14,подходит
"Сюжет, поначалу динамичный, зависает, а загадочность убийцы обретает простое (с элементами явной патологии) объяснение: мол, в детстве дурные люди украли его кота, и теперь дело всей жизни Милфорда – борьба с угнетателями братцев наших меньших.",patient,0-5,Сюжет,108-118,объяснение
"Борьба ведется методами убеждения, принуждения и просто отстрела самых закоренелых.",patient,0-6,Борьба,7-14,ведется
Отечественные кинематографисты не оставляют попыток снимать романтическое кино.,agent,14-30,кинематографисты,34-43,оставляют
Иногда у них это получается,patient,13-16,это,17-27,получается
"Премьера состоялась 21 августа (96 мин. В ролях Павел Деревянко, Джетро Скиннер, Олег Долин, Мадлен Джабраилова, Юрий Колокольников, Евгений Цыганов).",patient,0-8,Премьера,9-19,состоялась
"Премьера состоялась 21 августа (96 мин. В ролях Павел Деревянко, Джетро Скиннер, Олег Долин, Мадлен Джабраилова, Юрий Колокольников, Евгений Цыганов).",theme,48-53,Павел,9-19,состоялась
Жанровое кино как элемент современного российского кинопроцесса практически отсутствует.,patient,9-13,кино,76-87,отсутствует
"Меж тем спрос именно на жанровое, оно же развлекательное, кино очень велик.",patient,8-13,спрос,69-74,велик
"С одной стороны, в нашем кино нет традиции появления романтических комедий.",causator,34-42,традиции,30-33,нет
Пресловутые отдельные образцы новых ромкомов заслуживают внимания именно своей отдельностью.,patient,57-65,внимания,45-56,заслуживают
"Западные образцы, которых, кстати, во много раз больше, но это отдельная тема, – адресованы самым разным зрителям.",theme,73-77,тема,48-54,больше
"И сюжеты, и герои-героини такие сказочные, что им не веришь.",theme,2-8,сюжеты,53-59,веришь
"И злодеи не злые, и разлучники благородные.",experiencer,2-8,злодеи,12-16,злые
По улицам бродят феи.,place,3-9,улицам,10-16,бродят
Сливочный крем и блестки.,theme,0-9,Сливочный,10-14,крем
Реальность не присутствует даже в качестве приправы.,patient,0-10,Реальность,14-26,присутствует
"И кино, нацеленное на извлечение чувств из зрителя, наоборот, все чувства замораживает.",patient,2-6,кино,74-86,замораживает
Лирика оказывается неотделима от мегаполисного глянца.,agent,0-6,Лирика,7-18,оказывается
